Text,Date,Retweets,Favorites,HashTags,City,clean_tweet,document_tones,joy,sadness,confident,analytical,tentative,anger,fear
"Stone “Chilled” Steve Austin, is in the house. No corona beer for him pls. #stonecoldsteveaustin #lockdown #meme #fun #corona #covid19 #beer #chilled #coronamemes",2020-04-04 10:23:04+00:00,3,12,#stonecoldsteveaustin #lockdown #meme #fun #corona #covid19 #beer #chilled #coronamemes,Mumbai,Stone Chilled Steve Austin is in the house No corona beer for him pls stonecoldsteveaustin lockdown meme fun corona covid19 beer chilled coronamemes,"[{'score': 0.844069, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
Long run was must do activity in weekends for a long time for me. Attempted an hr run today within four walls of . #lockdown @People_TCS #covid19 #fit4life,2020-04-04 08:58:48+00:00,0,4,#lockdown #covid19 #fit4life,Mumbai,Long run was must do activity in weekends for a long time for me Attempted an hr run today within four walls of lockdown TCS covid19 fit4life,"[{'score': 0.584247, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
"A 51-year-old #COVID19 positive patient who attended the Tablighi Jamaat event in Delhi, passed away in Tamil Nadu, today. There are 411 Coronavirus positive cases in the state, out of which 364 are Tablighi Jamaat attendees: State Health Department",2020-04-04 08:33:10+00:00,0,1,#COVID19,Mumbai,A 51 year old COVID19 positive patient who attended the Tablighi Jamaat event in Delhi passed away in Tamil Nadu today There are 411 Coronavirus positive cases in the state out of which 364 are Tablighi Jamaat attendees State Health Department,"[{'score': 0.708308, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.608441, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,1.0,1.0,,,,
We are going through a tough time. It is very critical for all of us to manage & conduct ourselves with different perspectives may be more than ever. #Coronavirus #StayStrong #Covid19 #PMCaresFund,2020-04-04 08:31:33+00:00,1,1,#Coronavirus #StayStrong #Covid19 #PMCaresFund,Mumbai,We are going through a tough time It is very critical for all of us to manage conduct ourselves with different perspectives may be more than ever Coronavirus StayStrong Covid19 PMCaresFund,"[{'score': 0.605143, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,,1.0,,,,
#DeepikaPadukone and #RanveerSingh to contribute to #PMCaresFund... OFFICIAL STATEMENT... #CoronaVirus #COVID19 #COVID19Pandemic @RanveerOfficial @deepikapadukone @PMOIndia @narendramodi,2020-04-04 08:27:33+00:00,0,1,#DeepikaPadukone #RanveerSingh #PMCaresFund #CoronaVirus #COVID19 #COVID19Pandemic,Mumbai,DeepikaPadukone and RanveerSingh to contribute to PMCaresFund OFFICIAL STATEMENT CoronaVirus COVID19 COVID19Pandemic,"[{'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,,1.0,,,
Defeat the darkness of #covid19 #IndiaFightsCorona #lightofunity,2020-04-04 08:04:59+00:00,0,0,#covid19 #IndiaFightsCorona #lightofunity,Mumbai,Defeat the darkness of covid19 IndiaFightsCorona lightofunity,[],,,,,,,
Hope of Fruition! A fruit vendor waits for customers at a neighbourhood in Jogeshwari. @satejss #coronavirusindia #coronavirusmahrashtra #coronavirusmumbai #COVID19 #coronacrisis #middayentertainment #middaynews #satejshinde #dailydossier #offbeat #dailylife #jogeshwari – at Jogeshwari West,2020-04-04 07:35:42+00:00,0,1,#coronavirusindia #coronavirusmahrashtra #coronavirusmumbai #COVID19 #coronacrisis #middayentertainment #middaynews #satejshinde #dailydossier #offbeat #dailylife #jogeshwari,Mumbai,Hope of Fruition A fruit vendor waits for customers at a neighbourhood in Jogeshwari coronavirusindia coronavirusmahrashtra coronavirusmumbai COVID19 coronacrisis middayentertainment middaynews satejshinde dailydossier offbeat dailylife jogeshwari at Jogeshwari West,[],,,,,,,
"Remember the donation drives after natural calamities? Where we donate clothes, food items and money? #Covid19 is no less than a calamity! Make sure you play your part. Pl help the poor sustain. ",2020-04-04 07:33:39+00:00,0,1,#Covid19,Mumbai,Remember the donation drives after natural calamities Where we donate clothes food items and money Covid19 is no less than a calamity Make sure you play your part Pl help the poor sustain,[],,,,,,,
"#covid19 #corona #pandemic #supportwheelchaircricket #indiafightscorona @Lions Club Ground, Santacruz West https://www.instagram.com/p/B-jMzmjgiO7/?igshid=zlmgib153fij",2020-04-04 07:09:58+00:00,0,0,#covid19 #corona #pandemic #supportwheelchaircricket #indiafightscorona,Mumbai,covid19 corona pandemic supportwheelchaircricket indiafightscorona Club Ground Santacruz West,[],,,,,,,
Something with @PMOIndia @drharshvardhan should have provided but none the less Thank You @anandmahindra @shi_joshi . Thank you for serving the nation in tough times #COVID19 ,2020-04-04 06:47:25+00:00,1,2,#COVID19,Mumbai,Something with should have provided but none the less Thank You joshi Thank you for serving the nation in tough times COVID19,"[{'score': 0.668151, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
While we stay inside.. Mother Nature heals itself and starts showing off it’s beauty! #WhatsApp #forward #Covid19 #Tribune,2020-04-04 06:37:55+00:00,1,1,#WhatsApp #forward #Covid19 #Tribune,Mumbai,While we stay inside Mother Nature heals itself and starts showing off it s beauty WhatsApp forward Covid19 Tribune,"[{'score': 0.730957, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
"As difficult as it is to be away from our loved ones in times like these, we owe it to them and ourselves to #StayHome and #StaySafe. Buy Platinum Jewellery at https://goo.gl/CfRuuz #covid19 #covid #stayinghome… https://www.instagram.com/p/B-jE3gYhnCG/?igshid=1bm6ibi7k55n8",2020-04-04 05:58:42+00:00,0,0,#StayHome #StayHome #StaySafe #covid19 #covid #stayinghome,Mumbai,As difficult as it is to be away from our loved ones in times like these we owe it to them and ourselves to StayHome and StaySafe Buy Platinum Jewellery at covid19 covid stayinghome,"[{'score': 0.5373, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",,1.0,,,,,
What is your #BusinessContinutyPlan? Our team is always there to assist you. #SocialDistancing #Inspire_Lives #IndiaFightsCorona #COVID19 #InsightBusinessMachines,2020-04-04 05:02:41+00:00,0,0,#BusinessContinutyPlan #SocialDistancing #Inspire_Lives #IndiaFightsCorona #COVID19 #InsightBusinessMachines,Mumbai,What is your BusinessContinutyPlan Our team is always there to assist you SocialDistancing Inspire Lives IndiaFightsCorona COVID19 InsightBusinessMachines,"[{'score': 0.923165, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.724236, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.660207, 'tone_id': 'confident', 'tone_name': 'Confident'}]",1.0,,1.0,1.0,,,
Aarey tribals close doors to outsiders.. . @satejss @ranjeetnature . #satejshinde #midday #instaphoto #lockdown #aarey #aareycolony #goregaon #tribal #aareytribals #COVID19 #fightagainstcorona #closedoor – at Aarey Milk Colony,2020-04-04 04:57:59+00:00,2,3,#satejshinde #midday #instaphoto #lockdown #aarey #aareycolony #goregaon #tribal #aareytribals #COVID19 #fightagainstcorona #closedoor,Mumbai,Aarey tribals close doors to outsiders satejshinde midday instaphoto lockdown aarey aareycolony goregaon tribal aareytribals COVID19 fightagainstcorona closedoor at Aarey Milk Colony,[],,,,,,,
https://youtu.be/AiFrX1dibcc @yogrishiramdev .#Pranam.My day starts wth U.U grt.U transformd our lif f good. U united the country Crores follow u..and get benefit.. Kindly advis people abt.Corona.Advise thm social distancng.They would listn t u... And #India can defeat..#Covid19.,2020-04-04 02:52:33+00:00,0,1,#Pranam #India #Covid19,Mumbai,Pranam My day starts wth U U grt U transformd our lif f good U united the country Crores follow u and get benefit Kindly advis people abt Corona Advise thm social distancng They would listn t u And India can defeat Covid19,"[{'score': 0.697226, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
"Respectful Authorities, This is the scene every morning v r also not allowed to sleep properly. @CMOMaharashtra @TMCaTweetAway @ThaneCityPolice #IndiaFightsCorona #Maharashtra #Covid19 ",2020-04-04 00:16:39+00:00,0,0,#IndiaFightsCorona #Maharashtra #Covid19,Mumbai,Respectful Authorities This is the scene every morning v r also not allowed to sleep properly IndiaFightsCorona Maharashtra Covid19,"[{'score': 0.638987, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,,1.0,,,,
Nothing Reaches to Day 4 because of Self Awareness #Covid19 #Lockdown #Day11 @RShivshankar @TimesNow @timesofindia @htTweets @SrBachchan @PMOIndia @narendramodi @AmitShah People who are Against Govt after 3 days they find a new Issue and Criticise !,2020-04-03 23:06:47+00:00,0,0,#Covid19 #Lockdown #Day11,Mumbai,Nothing Reaches to Day 4 because of Self Awareness Covid19 Lockdown Day11 People who are Against Govt after 3 days they find a new Issue and Criticise,"[{'score': 0.538826, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.874319, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,1.0,,1.0,,,
Nothing Reaches to Day 4 because of Self Awareness #Covid19 #Lockdown #Day11 @RShivshankar @TimesNow @timesofindia @htTweets @SrBachchan @PMOIndia @narendramodi @AmitShah People who are Against Govt after 3 days they find a new Issue and Criticise ! ,2020-04-03 22:26:58+00:00,0,0,#Covid19 #Lockdown #Day11,Mumbai,Nothing Reaches to Day 4 because of Self Awareness Covid19 Lockdown Day11 People who are Against Govt after 3 days they find a new Issue and Criticise,"[{'score': 0.538826, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.874319, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,1.0,,1.0,,,
God Help Us!!! #coronavairus #covid19 #allah @Mother India https://www.instagram.com/p/B-iJsJGnvnhW18g4YF0URsoSXP-1kPWswsI7Rk0/?igshid=1ps3uwmthbwfn,2020-04-03 21:21:34+00:00,0,0,#coronavairus #covid19 #allah,Mumbai,God Help Us coronavairus covid19 allah India,"[{'score': 0.570977, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
We will be going live today with Medical Healthcare Professional Asim Sarkar at 4 pm on Facebook. Join us to to know more about COVID 19 and prevention measures. #TheQKnit #Mumbai #PrideMonth #InstaLive #Live #Discussion #COVID19 #CoronaVirus,2020-04-03 19:49:51+00:00,1,2,#TheQKnit #Mumbai #PrideMonth #PrideMonth #InstaLive #Live #Discussion #COVID19 #CoronaVirus,Mumbai,We will be going live today with Medical Healthcare Professional Asim Sarkar at 4 pm on Facebook Join us to to know more about COVID 19 and prevention measures TheQKnit Mumbai PrideMonth InstaLive Live Discussion COVID19 CoronaVirus,"[{'score': 0.550684, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
