Text,Date,Retweets,Favorites,HashTags,City,clean_tweet,document_tones,joy,analytical,confident,tentative,sadness,fear,anger
Checking Papa's work... Preparing report... #WorkfromDaughter #wfh #workfromhomelife #workfromhome #familytime #KarunaGo #GoKaruna #covid19effect #COVID19 #instagood #instapic #instagram… https://www.instagram.com/p/B-PoFBZgFn3sNhn_kIyTclfYC3CBVfbdG7DAfo0/?igshid=lzxe3kpc5ufl,2020-03-27 16:41:33+00:00,0,0,#WorkfromDaughter #wfh #workfromhomelife #workfromhome #familytime #KarunaGo #GoKaruna #covid19effect #COVID19 #instagood #instapic #instagram,Mumbai,Checking Papa s work Preparing report WorkfromDaughter wfh workfromhomelife workfromhome familytime KarunaGo GoKaruna covid19effect COVID19 instagood instapic instagram,"[{'score': 0.761387, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
China is responsible for spreading covid 19 virus all over the world still they are not accepting the fact.let the world know that China is culprit. Trend the word #Chinesevirus #covid19 #coronavirus #china And let the world know what they deserve,2020-03-27 16:28:41+00:00,0,0,#Chinesevirus #covid19 #coronavirus #china,Mumbai,China is responsible for spreading covid 19 virus all over the world still they are not accepting the fact let the world know that China is culprit Trend the word Chinesevirus covid19 coronavirus china And let the world know what they deserve,"[{'score': 0.715667, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.598602, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,1.0,1.0,,,,
"@CMOMaharashtra Respected Sir, Please Test ALL sanitation workers, hospital staff, policemen, and workers/staff at marketplaces. The essential services workers need #COVID19 testing immediately. #SaveEssentialServicesWorkers #TESTTESTTEST #covid19india",2020-03-27 16:15:13+00:00,1,2,#COVID19 #SaveEssentialServicesWorkers #TESTTESTTEST #covid19india,Mumbai,Respected Sir Please Test ALL sanitation workers hospital staff policemen and workers staff at marketplaces The essential services workers need COVID19 testing immediately SaveEssentialServicesWorkers TESTTESTTEST covid19india,"[{'score': 0.674728, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,,1.0,,,,
"@PMOIndia @drharshvardhan @AmitShah @RahulGandhi @CMOMaharashtra India needs to test ALL ""ASYMPTOMATIC ESSENTIAL WORKERS WITH WIDESPREAD PUBLIC CONTACT"" #COVID19 #asymptomaticvectors #widespread #public #contact #pandemic #preparedness #testing #TESTTESTTEST",2020-03-27 15:59:01+00:00,0,0,#COVID19 #asymptomaticvectors #widespread #public #contact #pandemic #preparedness #testing #TESTTESTTEST,Mumbai,India needs to test ALL ASYMPTOMATIC ESSENTIAL WORKERS WITH WIDESPREAD PUBLIC CONTACT COVID19 asymptomaticvectors widespread public contact pandemic preparedness testing TESTTESTTEST,"[{'score': 0.751512, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,,1.0,,,,
It's Always To Be The Best with Best Efforts and Happy Clients. #businessconsultant #digitalindia #covıd19 #covid_19 #covidmemes #digitalmedia #digitalworld #stayhome #stayhealthy #stayhomechallenge… https://www.instagram.com/p/B-PiqUsjWjz/?igshid=v1kzfa9xxzko,2020-03-27 15:54:15+00:00,0,1,#businessconsultant #digitalindia #cov #covid_19 #covidmemes #digitalmedia #digitalworld #stayhome #stayhome #stayhealthy #stayhomechallenge #stayhomechallenge,Mumbai,It s Always To Be The Best with Best Efforts and Happy Clients businessconsultant digitalindia cov d19 covid 19 covidmemes digitalmedia digitalworld stayhome stayhealthy stayhomechallenge,"[{'score': 0.949755, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.525926, 'tone_id': 'confident', 'tone_name': 'Confident'}]",1.0,,1.0,,,,
Happens everyday !! Police authorities needs to be more aware than the public in the matter of #COVID19 it seems. ,2020-03-27 15:50:34+00:00,0,0,#COVID19,Mumbai,Happens everyday Police authorities needs to be more aware than the public in the matter of COVID19 it seems,"[{'score': 0.525007, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,,,1.0,,,
 what a suggestion. Why u left India so soon after putting our system in doldrums. The sanitization job of currency could have been taken care by you. Pls stop issuing foolish comments and questioning the GOI measures on #Covid19. Give ur valued tips to the land u stay now.,2020-03-27 15:49:59+00:00,0,2,#Covid19,Mumbai,what a suggestion Why u left India so soon after putting our system in doldrums The sanitization job of currency could have been taken care by you Pls stop issuing foolish comments and questioning the GOI measures on Covid19 Give ur valued tips to the land u stay now,"[{'score': 0.56403, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",,,,,1.0,,
Focused Efforts. Masks at hotspots where spread is more/most. Robust Public Health Policy. Widespread Public Compliance. #WarAgainstVirus #COVID19 ,2020-03-27 15:48:15+00:00,0,1,#WarAgainstVirus #COVID19,Mumbai,Focused Efforts Masks at hotspots where spread is more most Robust Public Health Policy Widespread Public Compliance WarAgainstVirus COVID19,[],,,,,,,
Hope atleast this time @DHFL_India @DhflHome will extend 3months' #EMI #Moratorium relief declared by @RBI for in view of #COVID19 pandemic pls revert n confirm ... @FinMinIndia @PMOIndia @narendramodi @rsprasad @DoJ_India,2020-03-27 15:32:20+00:00,0,1,#EMI #Moratorium #COVID19,Mumbai,Hope atleast this time India will extend 3months EMI Moratorium relief declared by for in view of COVID19 pandemic pls revert n confirm India,"[{'score': 0.841001, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,1.0,,,,,
Wiladat-e- Imam Hussain (a.s) Mubarak to all my views #imamhussain #wiladate #mubarak #covıd19 #covid_19,2020-03-27 15:18:13+00:00,0,0,#imamhussain #wiladate #mubarak #cov #covid_19,Mumbai,Wiladat e Imam Hussain a s Mubarak to all my views imamhussain wiladate mubarak cov d19 covid 19,"[{'score': 0.660207, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,,1.0,,,,
Tricky. Tight rope walk. You are right. A Pictorial Mask Protocol Is Needed. #KeepFighting #WarAgainstVirus #PhysicalDistancing #SociallyConnected #MorePowerToNurses #MorePowerToDoctors #WeNeedMoreMasks #SolidarityWithHumanity #COVID19,2020-03-27 15:17:00+00:00,0,1,#KeepFighting #WarAgainstVirus #PhysicalDistancing #SociallyConnected #MorePowerToNurses #MorePowerToDoctors #WeNeedMoreMasks #SolidarityWithHumanity #COVID19,Mumbai,Tricky Tight rope walk You are right A Pictorial Mask Protocol Is Needed KeepFighting WarAgainstVirus PhysicalDistancing SociallyConnected MorePowerToNurses MorePowerToDoctors WeNeedMoreMasks SolidarityWithHumanity COVID19,[],,,,,,,
For all of you looking to get your grocery supplies through online shopping. This may help #covid19 #21daylockdown,2020-03-27 14:32:08+00:00,0,0,#covid19 #21daylockdown,Mumbai,For all of you looking to get your grocery supplies through online shopping This may help covid19 21daylockdown,[],,,,,,,
#COVID19 #Lockdown21 | @VolvoBusesIN reaches out to customers to assure seamless and continual service.,2020-03-27 13:49:23+00:00,0,2,#COVID19 #Lockdown21,Mumbai,COVID19 Lockdown21 reaches out to customers to assure seamless and continual service,"[{'score': 0.788547, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.825035, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,1.0,1.0,,,,
"Fresh case of #COVID19 has been reported in Chandigarh. Symptoms of Coronavirus was found in the patient 15 days after their arrival from Dubai. Contact tracing underway: Manoj Parida, Advisor, Chandigarh Administration",2020-03-27 13:44:18+00:00,0,0,#COVID19,Mumbai,Fresh case of COVID19 has been reported in Chandigarh Symptoms of Coronavirus was found in the patient 15 days after their arrival from Dubai Contact tracing underway Manoj Parida Advisor Chandigarh Administration,[],,,,,,,
- IRDAI to keep Motor Third Party insurance rates unchanged beyond March 31 till further notice - IRDAI had suggested an average increase of 15% in Motor TP rates for FY21 @CNBCTV18News @CNBCTV18Live #COVID19 #CoronaLockdown #coronavirus #IRDAI #insurance,2020-03-27 13:41:43+00:00,15,34,#COVID19 #CoronaLockdown #coronavirus #IRDAI #insurance,Mumbai,IRDAI to keep Motor Third Party insurance rates unchanged beyond March 31 till further notice IRDAI had suggested an average increase of 15 in Motor TP rates for FY21 COVID19 CoronaLockdown coronavirus IRDAI insurance,[],,,,,,,
Vegetable hawkers stalls are open full day at #bandrabazar market no crowding . #21daylockdown #caronavirus #COVID19 #StaySafe Only rates need to be controlled . @ShelarAshish G,2020-03-27 13:26:14+00:00,0,4,#bandrabazar #21daylockdown #caronavirus #COVID19 #StaySafe,Mumbai,Vegetable hawkers stalls are open full day at bandrabazar market no crowding 21daylockdown caronavirus COVID19 StaySafe Only rates need to be controlled G,[],,,,,,,
"Mrs.Madhuri, SM from #Raigad is ensuring every1 in the village practices social-distancing &amp; proper handwashing to fight #COVID19 pandemic. #CSR interested in#CovidRelief in #Mumbai #Raigad &amp; #Nashik do connect with FR@swadesfoundation.org @RonnieScrewvala @zarinascrewvala",2020-03-27 13:20:15+00:00,11,40,#Raigad #COVID19 #CSR #Mumbai #Raigad #Nashik,Mumbai,Mrs Madhuri SM from Raigad is ensuring every1 in the village practices social distancing amp proper handwashing to fight COVID19 pandemic CSR interested in CovidRelief in Mumbai Raigad amp Nashik do connect with FR org,[],,,,,,,
Yes Quarantine but good to see clear skies. No Air traffic. No Noise Pollution. No Air Pollution. Mother Earth is healing. #21daylockdown #SocialDistancing #coronavirusindia #covid19 #CautionYesPanicNo… https://www.instagram.com/p/B-PQjy9l6Bc/?igshid=yw0c2bv4i9pz,2020-03-27 13:16:02+00:00,0,0,#21daylockdown #SocialDistancing #coronavirusindia #covid19 #CautionYesPanicNo,Mumbai,Yes Quarantine but good to see clear skies No Air traffic No Noise Pollution No Air Pollution Mother Earth is healing 21daylockdown SocialDistancing coronavirusindia covid19 CautionYesPanicNo,"[{'score': 0.725185, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.509368, 'tone_id': 'confident', 'tone_name': 'Confident'}]",1.0,,1.0,,,,
