Text,Date,Retweets,Favorites,HashTags,City,clean_tweet,document_tones,analytical,joy,confident,anger,sadness,tentative,fear
"Curfew of the people, by the people, for the people to fight #COVID19. As a responsible citizen, come forward &amp; respond to PM @narendramodi’s call for Janta Curfew by taking the ‘I Support Janta Curfew” pledge. #IndiaFightsCorona",2020-03-22 05:45:39+00:00,0,0,#COVID19 #IndiaFightsCorona,Mumbai,Curfew of the people by the people for the people to fight COVID19 As a responsible citizen come forward amp respond to PM s call for Janta Curfew by taking the I Support Janta Curfew pledge IndiaFightsCorona,"[{'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,,,,
Why India must undergo a complete lockdown. The sooner the better. #covid19 #JantaCurfew,2020-03-22 05:30:25+00:00,0,0,#covid19 #JantaCurfew,Mumbai,Why India must undergo a complete lockdown The sooner the better covid19 JantaCurfew,"[{'score': 0.634303, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.509368, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,1.0,1.0,,,,
"This road has been never so quite like today I see from my balcony, all are following #jantacurfew for 14 hours and hope it will be continued in coming days as much as possible until #covid19 is killed entirely #proudindian Glad to see that nature will breath more in this period",2020-03-22 04:59:56+00:00,1,13,#jantacurfew #covid19 #proudindian,Mumbai,This road has been never so quite like today I see from my balcony all are following jantacurfew for 14 hours and hope it will be continued in coming days as much as possible until covid19 is killed entirely proudindian Glad to see that nature will breath more in this period,"[{'score': 0.614944, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,1.0,,,,,
#HDOR #ComeWhatMay #covid_19 #covıd19 #covid #march #awareness #29thmarch #kalyandombivalirunners #kdr #dombivalikar @Home $weet Home https://www.instagram.com/p/B-BeoDWJMV2/?igshid=1bup115za20z8,2020-03-22 04:49:35+00:00,0,0,#HDOR #ComeWhatMay #covid_19 #cov #covid #march #awareness #29thmarch #kalyandombivalirunners #kdr #dombivalikar,Mumbai,HDOR ComeWhatMay covid 19 cov d19 covid march awareness 29thmarch kalyandombivalirunners kdr dombivalikar weet Home,[],,,,,,,
Testing allowed at Private labs in India. Won't be surprised for #COVID19 confirmed cases to shoot the roof in next few weeks as everyone starts getting tested against only symptomatic direct contact. ,2020-03-22 04:45:21+00:00,1,1,#COVID19,Mumbai,Testing allowed at Private labs in India Won t be surprised for COVID19 confirmed cases to shoot the roof in next few weeks as everyone starts getting tested against only symptomatic direct contact,"[{'score': 0.63081, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.788547, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,1.0,,,,,
Is India finally understanding social distancing? Can the janta curfew ne an example of what we can achieve together and follow this for coming weeks? @PMOIndia @narendramodi @AUThackeray - great way to inspire people to do the right thing. #mumbai #westernexp #corona #Covid19 – at Lodha Fiorenza,2020-03-22 04:44:47+00:00,2,6,#mumbai #westernexp #corona #Covid19,Mumbai,Is India finally understanding social distancing Can the janta curfew ne an example of what we can achieve together and follow this for coming weeks great way to inspire people to do the right thing mumbai westernexp corona Covid19 at Lodha Fiorenza,"[{'score': 0.926083, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.636233, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,1.0,,,,,
"USA: March 1 Today 75 26779 Italy: March 1 Today 1701 53,578 Spain: March 1 Today 84 25,496 The only person who can save India is YOU. #JantaCurfew #CoronaUpdatesInIndia #Covid19",2020-03-22 04:44:18+00:00,0,0,#JantaCurfew #CoronaUpdatesInIndia #Covid19,Mumbai,USA March 1 Today 75 26779 Italy March 1 Today 1701 53 578 Spain March 1 Today 84 25 496 The only person who can save India is YOU JantaCurfew CoronaUpdatesInIndia Covid19,[],,,,,,,
"Curfew of the people, by the people, for the people to fight #COVID19. As a responsible citizen, come forward &amp; respond to PM @narendramodi’s call for Janta Curfew by taking the ‘I Support Janta Curfew” pledge. #IndiaFightsCorona",2020-03-22 03:50:44+00:00,0,0,#COVID19 #IndiaFightsCorona,Mumbai,Curfew of the people by the people for the people to fight COVID19 As a responsible citizen come forward amp respond to PM s call for Janta Curfew by taking the I Support Janta Curfew pledge IndiaFightsCorona,"[{'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,,,,
Do your part to help slow the spread of #COVID19 and #FlattenTheCuve : Wash your hands Cough into your elbow Practice social distancing and #StayAtHome #JantaCurfew,2020-03-22 03:45:43+00:00,917,9879,#COVID19 #FlattenTheCuve #StayAtHome #StayAtHome #JantaCurfew,Mumbai,Do your part to help slow the spread of COVID19 and FlattenTheCuve Wash your hands Cough into your elbow Practice social distancing and StayAtHome JantaCurfew,[],,,,,,,
"Never seen this it’s deserted near #ShahRukhKhan ‘s #Mannat but it’s good to be quarantined&amp;isolate ourselves,stay safe! #IndiaFightsCorona #JantaCurfew #coronavirus #CoronavirusOutbreakindia #COVID #covid19 #mumbailockdown",2020-03-22 03:27:20+00:00,1,1,#ShahRukhKhan #Mannat #IndiaFightsCorona #JantaCurfew #coronavirus #CoronavirusOutbreakindia #COVID #covid19 #mumbailockdown,Mumbai,Never seen this it s deserted near ShahRukhKhan s Mannat but it s good to be quarantined amp isolate ourselves stay safe IndiaFightsCorona JantaCurfew coronavirus CoronavirusOutbreakindia COVID covid19 mumbailockdown,"[{'score': 0.595243, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,1.0,,,,,
"I’m game, are you in it ? . #Reशेrd @nike . Now more than ever, we are one team. #playinside #playfortheworld. . #NāToCōरोnā #iChētz #Noप्लानetB #covıd19 #covid_19 #coronavirus… https://www.instagram.com/p/B-BU4bmh-yBx5xexVgq3K_EjOf47Wr68LlMtoo0/?igshid=purpn3g6i6sa",2020-03-22 03:24:27+00:00,0,1,#Re #playinside #playfortheworld #N #iCh #No #cov #covid_19 #coronavirus,Mumbai,I m game are you in it Re rd Now more than ever we are one team playinside playfortheworld N ToC n iCh tz No etB cov d19 covid 19 coronavirus,[],,,,,,,
"Curfew of the people, by the people, for the people to fight #COVID19. As a responsible citizen, come forward &amp; respond to PM @narendramodi’s call for Janta Curfew by taking the ‘I Support Janta Curfew” pledge. #IndiaFightsCorona",2020-03-22 03:20:32+00:00,0,1,#COVID19 #IndiaFightsCorona,Mumbai,Curfew of the people by the people for the people to fight COVID19 As a responsible citizen come forward amp respond to PM s call for Janta Curfew by taking the I Support Janta Curfew pledge IndiaFightsCorona,"[{'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,,,,
"everyone... be ready for the #jantacurfew tomorrow i.e. 22nd March '2020 07.00 am to 09.00 pm it is the need of the hour everything will be shut, so don't act smart and go out for irrelevant reason! #indiafightsagainstcorona #gocoronago #covid19 #coronavirus",2020-03-22 03:18:55+00:00,0,1,#jantacurfew #indiafightsagainstcorona #gocoronago #covid19 #coronavirus,Mumbai,everyone be ready for the jantacurfew tomorrow i e 22nd March 2020 07 00 am to 09 00 pm it is the need of the hour everything will be shut so don t act smart and go out for irrelevant reason indiafightsagainstcorona gocoronago covid19 coronavirus,[],,,,,,,
"#IndiaFightsCorona We are ready for #JantaCurfewMarch22 Are you? Keep yourself, your family, friends and loved ones safe. Together we can fight #COVID19. #CoronaOutbreak #SwasthaBharat #HealthForAll",2020-03-22 03:14:57+00:00,2,6,#IndiaFightsCorona #JantaCurfewMarch22 #COVID19 #CoronaOutbreak #SwasthaBharat #HealthForAll,Mumbai,IndiaFightsCorona We are ready for JantaCurfewMarch22 Are you Keep yourself your family friends and loved ones safe Together we can fight COVID19 CoronaOutbreak SwasthaBharat HealthForAll,"[{'score': 0.877346, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,1.0,,,,,
"STAY HOME TODAY. CLAP IN YOUR BALCONIES AT 5 PM. The doctors, paramedics and authorities are doing their best. We must do ours. #covid19 #janatacurfew #homesafehome #gvn @Mumbai, Maharashtra https://www.instagram.com/p/B-BTNUuhwIx/?igshid=1ukngl3oack9n",2020-03-22 03:09:50+00:00,1,12,#covid19 #janatacurfew #homesafehome #gvn,Mumbai,STAY HOME TODAY CLAP IN YOUR BALCONIES AT 5 PM The doctors paramedics and authorities are doing their best We must do ours covid19 janatacurfew homesafehome gvn Maharashtra,"[{'score': 0.670019, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,1.0,,,,,
"#Covid19 is India’s biggest crisis. See @BDUTT’s eye-opening interview with a leading epidemiologist who predicts 300-500 million cases in India by end July, 1 to 3 million dead. UNLESS there is a complete lockdown for at least 3 weeks, starting NOW. #JantaCurfew #Covid19India",2020-03-22 02:38:01+00:00,13,40,#Covid19 #JantaCurfew #Covid19India,Mumbai,Covid19 is India s biggest crisis See s eye opening interview with a leading epidemiologist who predicts 300 500 million cases in India by end July 1 to 3 million dead UNLESS there is a complete lockdown for at least 3 weeks starting NOW JantaCurfew Covid19India,[],,,,,,,
"Well, why not? Once a Month lockdown can help the environment too! Thank you @PMOIndia for letting us hear the melodious morning. #lockdownindia #LockDownMumbaiPune #Covid19 #Covid19India",2020-03-22 02:30:10+00:00,1,1,#lockdownindia #LockDownMumbaiPune #Covid19 #Covid19India,Mumbai,Well why not Once a Month lockdown can help the environment too Thank you for letting us hear the melodious morning lockdownindia LockDownMumbaiPune Covid19 Covid19India,"[{'score': 0.838437, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,1.0,,,,,
