Text,Date,Retweets,Favorites,HashTags,City,clean_tweet,document_tones,sadness,joy,fear,confident,analytical,tentative,anger
Lightened Diyas in solidarity against #Covid19 “भक्तों बोला था ना तुम्हारे बाप की शादी नहीं है पटाखे मत जलाना” Will PM listen to the weeping doctors who are running short of #PPE putting their life at risk? Will PM lighten the house of poors and migrant workers? #9बजे9मिनट,2020-04-05 16:01:42+00:00,1,2,#Covid19 #PPE #9,Delhi,Lightened Diyas in solidarity against Covid19 Will PM listen to the weeping doctors who are running short of PPE putting their life at risk Will PM lighten the house of poors and migrant workers 9 9,"[{'score': 0.522345, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",1.0,,,,,,
#9pmdiwaliAtABP #DiwaliAgainstCorona #DiwaliAt9 We have shown our unity and strength against #Corona. #Covid19 @ABPNews @aajtak @ZeeNews – at Crossings Republik,2020-04-05 16:00:31+00:00,0,0,#9pmdiwaliAtABP #DiwaliAgainstCorona #DiwaliAt9 #Corona #Covid19,Delhi,9pmdiwaliAtABP DiwaliAgainstCorona DiwaliAt9 We have shown our unity and strength against Corona Covid19 at Crossings Republik,"[{'score': 0.524021, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,1.0,,,,,
"I stand with @NarendraModi &amp; against #CoronaVirus We'll together defeat #COVID19 #IndiaFightsCoronaVirus #IndiaBattlesCoronavirus #COVID2019 #coronavirus – at Kaveri Block, D-6, Vasant Kunj",2020-04-05 15:56:19+00:00,0,1,#CoronaVirus #COVID19 #IndiaFightsCoronaVirus #IndiaBattlesCoronavirus #COVID2019 #coronavirus,Delhi,I stand with amp against CoronaVirus We ll together defeat COVID19 IndiaFightsCoronaVirus IndiaBattlesCoronavirus COVID2019 coronavirus at Kaveri Block D 6 Vasant Kunj,[],,,,,,,
Corona at 9:10pm tonight! #covid19 #coronavirus #lockdown,2020-04-05 15:55:46+00:00,0,3,#covid19 #coronavirus #lockdown,Delhi,Corona at 9 10pm tonight covid19 coronavirus lockdown,[],,,,,,,
Where are the memes!? Damn it! #GoCoronaGo #covid19 #memes #delhi #coronavirusmemes,2020-04-05 15:52:28+00:00,0,2,#GoCoronaGo #covid19 #memes #delhi #coronavirusmemes,Delhi,Where are the memes Damn it GoCoronaGo covid19 memes delhi coronavirusmemes,[],,,,,,,
Pollution level bhi toh increase karna hai. We are fighting with 2 pandemics #Covid19 and #Stupidity,2020-04-05 15:51:55+00:00,1,0,#Covid19 #Stupidity,Delhi,Pollution level bhi toh increase karna hai We are fighting with 2 pandemics Covid19 and Stupidity,[],,,,,,,
9 pm 9 minutes for corona fighters. #9pm9minutes #mehrauli #coronavirus #covid19 #Covid19India @PMOIndia @narendramodi @DGCAIndia @MoCA_GoI @rashtrapatibhvn @ANI @PIB_India @PTI_News @_DigitalIndia @incredibleindia @HRDMinistry @MoHFW_INDIA @RailMinIndia @PIBHomeAffairs,2020-04-05 15:51:16+00:00,1,0,#9pm9minutes #mehrauli #coronavirus #covid19 #Covid19India,Delhi,9 pm 9 minutes for corona fighters 9pm9minutes mehrauli coronavirus covid19 Covid19India GoI India News DigitalIndia INDIA,[],,,,,,,
"Lights for devine help to destroy the #Covid19 and for good health, happiness and prosperity. Respect the nature, it protects you.@narendramodi @TV9Telugu @NtvteluguHD @ArnabGoswamiRtv",2020-04-05 15:49:01+00:00,0,0,#Covid19,Delhi,Lights for devine help to destroy the Covid19 and for good health happiness and prosperity Respect the nature it protects you,"[{'score': 0.964042, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,1.0,,,,,
A #light to overcome from darkness #covid19 @Noida https://www.instagram.com/p/B-mtBnRp6k1/?igshid=1qif6lvchrpac,2020-04-05 15:47:19+00:00,0,0,#light #covid19,Delhi,A light to overcome from darkness covid19,"[{'score': 0.746021, 'tone_id': 'fear', 'tone_name': 'Fear'}]",,,1.0,,,,
"We stand United to defeat the darkness among people, minds and soul and win a fight against #Covid19 @narendramodi",2020-04-05 15:45:10+00:00,0,2,#Covid19,Delhi,We stand United to defeat the darkness among people minds and soul and win a fight against Covid19,[],,,,,,,
#Covid19 have been seen crying while boarding the flight back at IGI AIRPORT.,2020-04-05 15:43:41+00:00,0,0,#Covid19,Delhi,Covid19 have been seen crying while boarding the flight back at IGI AIRPORT,"[{'score': 0.856867, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",1.0,,,,,,
"#2020 #COVID19 #lockdown #Diwali Inke chlte jo jo Ho raha hai Sala sab Economics, Political, History, Sociology ki books Main likha jayga Haye re future Wale bachhe Tum to gye re ",2020-04-05 15:43:19+00:00,0,2,#COVID19 #lockdown #Diwali,Delhi,2020 COVID19 lockdown Diwali Inke chlte jo jo Ho raha hai Sala sab Economics Political History Sociology ki books Main likha jayga Haye re future Wale bachhe Tum to gye re,[],,,,,,,
@PMOIndia What a sight Sir... Lights everywhere along with sound of divine conch shells around us!!! Praying for all #9pm9minute #IndiaFightsCorona #COVID19 ,2020-04-05 15:40:53+00:00,0,1,#9pm9minute #IndiaFightsCorona #COVID19,Delhi,What a sight Sir Lights everywhere along with sound of divine conch shells around us Praying for all 9pm9minute IndiaFightsCorona COVID19,[],,,,,,,
#COVID19 a Deepavali to resist #Corona and cheer for all health workers. @narendramodi ji people celebrating social distancing. – at Ecovillage I,2020-04-05 15:40:27+00:00,0,1,#COVID19 #Corona,Delhi,COVID19 a Deepavali to resist Corona and cheer for all health workers ji people celebrating social distancing at Ecovillage I,"[{'score': 0.766647, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.618451, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,1.0,,1.0,,,
"As India fights the battle against #COVID19, we at Fever FM will be strongly supporting the efforts of @MoHFW_INDIA and @PMOIndia in spreading the message to each of our listeners.",2020-04-05 15:17:34+00:00,1,7,#COVID19,Delhi,As India fights the battle against COVID19 we at Fever FM will be strongly supporting the efforts of INDIA and in spreading the message to each of our listeners,[],,,,,,,
"As India fights the battle against #COVID19, we at Fever FM will be strongly supporting the efforts of @MoHFW_INDIA and @PMOIndia in spreading the message to each of our listeners.",2020-04-05 14:48:54+00:00,1,1,#COVID19,Delhi,As India fights the battle against COVID19 we at Fever FM will be strongly supporting the efforts of INDIA and in spreading the message to each of our listeners,[],,,,,,,
"encraftindia #Team in solidarity in #fights #against #covid19 #unityconsciousness #unity #love #strength #positivevibes #positiveenergy @East of Kailash, South Delhi https://www.instagram.com/p/B-mkNBJhwrZ/?igshid=1e2ozgah5kdrh",2020-04-05 14:30:14+00:00,0,0,#Team #fights #against #covid19 #unityconsciousness #unity #love #strength #positivevibes #positiveenergy,Delhi,encraftindia Team in solidarity in fights against covid19 unityconsciousness unity love strength positivevibes positiveenergy of Kailash South Delhi,"[{'score': 0.820684, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.874372, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,1.0,,1.0,,,
"More masks, more protective gears, more #Covid19 tests and no more useless tasks. Light your hearts and bring a change. #HealthCareWorkers need supplies to combat this #pandemic. #TubelightModi @MahilaCongress",2020-04-05 14:28:20+00:00,14,71,#Covid19 #HealthCareWorkers #pandemic #TubelightModi,Delhi,More masks more protective gears more Covid19 tests and no more useless tasks Light your hearts and bring a change HealthCareWorkers need supplies to combat this pandemic TubelightModi,[],,,,,,,
"Mission SEVA-SBI branches in hills of Uttrakhand distributed food stuff to laborers & to other needy people. To fight #COVID19, its essential to follow complete lockdown &amp; SBI staff across Delhi Circle are aware of their responsibilities. Stay home, Stay safe. @TheOfficialSBI",2020-04-05 14:17:46+00:00,28,60,#COVID19,Delhi,Mission SEVA SBI branches in hills of Uttrakhand distributed food stuff to laborers to other needy people To fight COVID19 its essential to follow complete lockdown amp SBI staff across Delhi Circle are aware of their responsibilities Stay home Stay safe,[],,,,,,,
Lockdown Day-11 'Ammypedia' Salute to Police & Security Staff @PrakashJavdekar @RubikaLiyaquat @sudhirchaudhary @RajatSharmaLive @anjanaomkashyap @ParitoshChoubey @journosaurav @awasthis #salutemedia #coronawarriors #CoronaUpdate #COVID19 #indianmedia,2020-04-05 14:08:47+00:00,0,0,#salutemedia #coronawarriors #CoronaUpdate #COVID19 #indianmedia,Delhi,Lockdown Day 11 Ammypedia Salute to Police Security Staff salutemedia coronawarriors CoronaUpdate COVID19 indianmedia,[],,,,,,,
"With the kind of density of population in India, specially in pockets where poor reside, there is an urgent need for mass testing. The Dharavi casualty due to #COVID19 should be an eye opener. #TestKaroNa",2020-04-05 14:02:56+00:00,0,0,#COVID19 #TestKaroNa,Delhi,With the kind of density of population in India specially in pockets where poor reside there is an urgent need for mass testing The Dharavi casualty due to COVID19 should be an eye opener TestKaroNa,[],,,,,,,
"With the kind of density of population in India, specially in pockets where poor reside, there is an urgent need for mass testing. The Dharavi casualty due to #COVID19 should be an eye opener. #TestKaroNa",2020-04-05 13:59:22+00:00,0,0,#COVID19 #TestKaroNa,Delhi,With the kind of density of population in India specially in pockets where poor reside there is an urgent need for mass testing The Dharavi casualty due to COVID19 should be an eye opener TestKaroNa,[],,,,,,,
Appeal to the media: Please stop acting as Modi's personal PR machine. Ask the right questions. Such as: 1) Why is there lack for protective gear for our healthcare workers? 2) Why are there so few #COVID19 tests? It is a test of your love for India. #TestKaroNa,2020-04-05 13:57:15+00:00,0,0,#COVID19 #TestKaroNa,Delhi,Appeal to the media Please stop acting as Modi s personal PR machine Ask the right questions Such as 1 Why is there lack for protective gear for our healthcare workers 2 Why are there so few COVID19 tests It is a test of your love for India TestKaroNa,"[{'score': 0.748924, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,,,1.0,,
Appeal to the media: Please stop acting as Modi's personal PR machine. Ask the right questions. Such as: 1) Why is there lack for protective gear for our healthcare workers? 2) Why are there so few #COVID19 tests? It is a test of your love for India. #TestKaroNa,2020-04-05 13:52:01+00:00,0,1,#COVID19 #TestKaroNa,Delhi,Appeal to the media Please stop acting as Modi s personal PR machine Ask the right questions Such as 1 Why is there lack for protective gear for our healthcare workers 2 Why are there so few COVID19 tests It is a test of your love for India TestKaroNa,"[{'score': 0.748924, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,,,1.0,,
#9pm9minutes For the united #India’s fight against #Coronavirus #COVID19 #CoronaPandemie #IndiaFightsCorona,2020-04-05 13:51:16+00:00,0,0,#9pm9minutes #India #Coronavirus #COVID19 #CoronaPandemie #IndiaFightsCorona,Delhi,9pm9minutes For the united India s fight against Coronavirus COVID19 CoronaPandemie IndiaFightsCorona,[],,,,,,,
"#MadhyaPradesh Man Who Threw A Feast For 1,500 Tests #Coronavirus+ #Covid19 #Lockdown",2020-04-05 13:35:14+00:00,0,0,#MadhyaPradesh #Coronavirus #Covid19 #Lockdown,Delhi,MadhyaPradesh Man Who Threw A Feast For 1 500 Tests Coronavirus Covid19 Lockdown,[],,,,,,,
#IndiaFightsCorona: @ICMRDELHI made an appeal to the general public to refrain from consuming and spitting tobacco in public places because it can enhance the spread of #COVID19: @MoHFW_INDIA media briefing Details: http://tinyurl.com/ue5swc5 #CoronavirusPandemic #StayHome,2020-04-05 13:31:18+00:00,0,0,#IndiaFightsCorona #COVID19 #CoronavirusPandemic #StayHome #StayHome,Delhi,IndiaFightsCorona made an appeal to the general public to refrain from consuming and spitting tobacco in public places because it can enhance the spread of COVID19 INDIA media briefing Details CoronavirusPandemic StayHome,"[{'score': 0.535726, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,,,1.0,,
Google My Business listings now have access to a new type of post designed for announcements related to COVID-19 #GMB #COVID19 ,2020-04-05 13:28:57+00:00,0,0,#GMB #COVID19,Delhi,Google My Business listings now have access to a new type of post designed for announcements related to COVID 19 GMB COVID19,[],,,,,,,
Waiting for 9pm? #covid19 #coronavirus #lockdownindia,2020-04-05 13:14:25+00:00,0,1,#covid19 #coronavirus #lockdownindia,Delhi,Waiting for 9pm covid19 coronavirus lockdownindia,[],,,,,,,
Stay productive while working from home with high-performance laptops. #21DaysLockDown #StaySafe #StayHome #laptops #bestperformance #quarantine #covid #covid19 #coronavirus #fightagainstcorona,2020-04-05 12:45:11+00:00,0,0,#21DaysLockDown #StaySafe #StayHome #StayHome #laptops #bestperformance #quarantine #covid #covid19 #coronavirus #fightagainstcorona,Delhi,Stay productive while working from home with high performance laptops 21DaysLockDown StaySafe StayHome laptops bestperformance quarantine covid covid19 coronavirus fightagainstcorona,"[{'score': 0.671824, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,1.0,,,,,
"Connaught Place (Delhi) Day: Sunday Date: April 05, 2020 Time: Noon . . #Lockdown #Delhi #OnAssignment #Covid19Lockdown #Covid19 #Life #Hope",2020-04-05 12:42:17+00:00,1,3,#Lockdown #Delhi #OnAssignment #Covid19Lockdown #Covid19 #Life #Hope,Delhi,Connaught Place Delhi Day Sunday Date April 05 2020 Time Noon Lockdown Delhi OnAssignment Covid19Lockdown Covid19 Life Hope,"[{'score': 0.783116, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.5538, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,1.0,,,,1.0,
