Text,Date,Retweets,Favorites,HashTags,City,clean_tweet,document_tones,joy,tentative,analytical,confident,sadness,anger,fear
"Glad my Youtube channel's random vlogs could keep my friends entertained! Thanks, @ShantonilNag and thanks to the pretty lady! #youtube #dailyvlogs #covid19 #CoronavirusPandemic #LockdowninDelhi",2020-03-23 11:21:42+00:00,1,5,#youtube #dailyvlogs #covid19 #CoronavirusPandemic #LockdowninDelhi,Delhi,Glad my Youtube channel s random vlogs could keep my friends entertained Thanks and thanks to the pretty lady youtube dailyvlogs covid19 CoronavirusPandemic LockdowninDelhi,"[{'score': 0.910144, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.88939, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",1.0,1.0,,,,,
Let's not forget those who got us freedom. Stay Safe Stay Inside Home #shaheeddiwas #martyrsday #staysafe #stayhome #covid19 ,2020-03-23 11:15:19+00:00,0,1,#shaheeddiwas #martyrsday #staysafe #stayhome #stayhome #covid19,Delhi,Let s not forget those who got us freedom Stay Safe Stay Inside Home shaheeddiwas martyrsday staysafe stayhome covid19,"[{'score': 0.730335, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,,,,
"Hey @airvistara, I booked Delhi - Kolkata flight for April 08 but I am unable to travel due to #COVID19 @makemytrip tells me full cancellation charges apply and there is no option for rescheduling it to another Vistara flight. Your phone lines are busy. Pl help. Thanks",2020-03-23 10:58:54+00:00,0,1,#COVID19,Delhi,Hey I booked Delhi Kolkata flight for April 08 but I am unable to travel due to COVID19 tells me full cancellation charges apply and there is no option for rescheduling it to another Vistara flight Your phone lines are busy Pl help Thanks,[],,,,,,,
"After the lockdown in Delhi most of the peoples are outside their homes walking on streets, some driving cars in loud music.I request to the govt to take action and apply heavy chalans on them. This lockdown is for their safety. @ArvindKejriwal @narendramodi @kgahlot #COVID19",2020-03-23 10:58:31+00:00,1,2,#COVID19,Delhi,After the lockdown in Delhi most of the peoples are outside their homes walking on streets some driving cars in loud music I request to the govt to take action and apply heavy chalans on them This lockdown is for their safety COVID19,[],,,,,,,
Before & after #Corona! The meme factory at its best! #memes #CoronavirusPandemic #Covid19 #coronameme #bollywood #dfordelhi #monday #CoronaVirusUpdate,2020-03-23 10:58:06+00:00,0,6,#Corona #memes #CoronavirusPandemic #Covid19 #coronameme #bollywood #dfordelhi #monday #CoronaVirusUpdate,Delhi,Before after Corona The meme factory at its best memes CoronavirusPandemic Covid19 coronameme bollywood dfordelhi monday CoronaVirusUpdate,"[{'score': 0.633688, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.743104, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.6821, 'tone_id': 'confident', 'tone_name': 'Confident'}]",1.0,,1.0,1.0,,,
Mental Health In Times Of #COVID19 - Isolation &amp; stress can be hard for many. Reach out to your loved ones. Don’t let this tough time win! #MentalHealthMatters #StressManagment #Isolation #Covid_19india #COVID19outbreak,2020-03-23 10:37:25+00:00,0,0,#COVID19 #MentalHealthMatters #StressManagment #Isolation #Covid_19india #COVID19outbreak,Delhi,Mental Health In Times Of COVID19 Isolation amp stress can be hard for many Reach out to your loved ones Don t let this tough time win MentalHealthMatters StressManagment Isolation Covid 19india COVID19outbreak,"[{'score': 0.577102, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",,,,,1.0,,
#verma stay home #covıd19 use status on ur pic or tag me @attitudestatus0 Tag your friends or shear Follow Second Acount @bnw_quote *___#___* *___#___* #attitude_status_hindi_english *....#....* #newedition… https://www.instagram.com/p/B-Ej2PmhcL9/?igshid=byxc3oh6v6fz,2020-03-23 09:32:56+00:00,0,1,#verma #cov #attitude_status_hindi_english #newedition,Delhi,verma stay home cov d19 use status on ur pic or tag me Tag your friends or shear Follow Second Acount quote attitude status hindi english newedition,"[{'score': 0.698904, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,1.0,,,,,
"We stand by Italy during these trying times. Share your Support for our Italian friends, They are our colleagues, friends and family. Cari amici, siamo con voi. #COVID19 #WeStandWithItaly",2020-03-23 09:15:21+00:00,0,0,#COVID19 #WeStandWithItaly,Delhi,We stand by Italy during these trying times Share your Support for our Italian friends They are our colleagues friends and family Cari amici siamo con voi COVID19 WeStandWithItaly,"[{'score': 0.629066, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
Drafted this on #COVID19 in Hindi to send it in my family groups with the hope that people understand and start taking government guidelines seriously. Let me know if you would like the text ,2020-03-23 09:15:10+00:00,1,1,#COVID19,Delhi,Drafted this on COVID19 in Hindi to send it in my family groups with the hope that people understand and start taking government guidelines seriously Let me know if you would like the text,"[{'score': 0.660103, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,,,,
Re-up - To brighten you up - Yellow Bell Orchid/ Yellow Bauhinia ( Sept 2019) stay safe #COVID19 This too shall pass! ,2020-03-23 08:58:24+00:00,1,28,#COVID19,Delhi,Re up To brighten you up Yellow Bell Orchid Yellow Bauhinia Sept 2019 stay safe COVID19 This too shall pass,[],,,,,,,
