Text,Date,Retweets,Favorites,HashTags,City,clean_tweet,document_tones,analytical,anger,sadness,joy,fear,tentative,confident
There are many self employed people in our country and state with many personal loans to pay Monthly EMI's. Can we get extension period to pay after recovering this situation by #Covid19 . I request you consider our #selfemployed problems @KTRTRS gaaru.,2020-03-26 03:49:33+00:00,0,2,#Covid19 #selfemployed,Hyderabad,There are many self employed people in our country and state with many personal loans to pay Monthly EMI s Can we get extension period to pay after recovering this situation by Covid19 I request you consider our selfemployed problems gaaru,"[{'score': 0.645291, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,,,,
GEN Z are the idiots doing this. Calling themselves “influencers” & getting paid for just being on YouTube and not going to work physically. Dang I wish we had it that easy to make money. #coronavirus #covid19 ,2020-03-25 19:59:35+00:00,0,0,#coronavirus #covid19,Hyderabad,GEN Z are the idiots doing this Calling themselves influencers getting paid for just being on YouTube and not going to work physically Dang I wish we had it that easy to make money coronavirus covid19,"[{'score': 0.549499, 'tone_id': 'anger', 'tone_name': 'Anger'}]",,1.0,,,,,
"@TOIIndoreNews @MoHFW_INDIA @Imamofpeace @WHO please intervene, else it will be a massive loss of human life. They are risking their lives anyways but also other innocents @Imamofpeace @WahiduddinKhan can't we pray from home Hon Dignitaries? #CoVid19 #Emergency",2020-03-25 17:00:54+00:00,0,0,#CoVid19 #Emergency,Hyderabad,INDIA please intervene else it will be a massive loss of human life They are risking their lives anyways but also other innocents can t we pray from home Hon Dignitaries CoVid19 Emergency,"[{'score': 0.504886, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.718921, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,1.0,,,,
"During this crucial time, let us work across states, party affiliations for our country #India and our city or state and leave these differences away, it's time for #IndiaFightsCorona #COVID19 and to defeat it! @HiHyderabad @Andrew007Uk @HiCyberabad",2020-03-25 16:59:14+00:00,0,0,#India #IndiaFightsCorona #COVID19,Hyderabad,During this crucial time let us work across states party affiliations for our country India and our city or state and leave these differences away it s time for IndiaFightsCorona COVID19 and to defeat it,"[{'score': 0.520922, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",,,1.0,,,,
"Sir @KTRTRS @TelanganaDGP, @CPHydCity Please see this video of Golconda this is not friendly policing. I Know people should follow the rules which are made for their benefit but sir is this how we will get public coordinaton ? Public and govt should fight together #Covid19 https://twitter.com/syedKashaf95/status/1242839404835553281",2020-03-25 15:53:18+00:00,4,10,#Covid19,Hyderabad,Sir Please see this video of Golconda this is not friendly policing I Know people should follow the rules which are made for their benefit but sir is this how we will get public coordinaton Public and govt should fight together Covid19,[],,,,,,,
"Sir @TelanganaDGP, @CPHydCity Please see this video of @shogolconda limits this is not friendly policing. I Know people should follow the rules which are made for their benefit but sir is how we will win public coordinaton ? Public and govt should fight together #Covid19 ",2020-03-25 15:42:59+00:00,32,75,#Covid19,Hyderabad,Sir Please see this video of limits this is not friendly policing I Know people should follow the rules which are made for their benefit but sir is how we will win public coordinaton Public and govt should fight together Covid19,[],,,,,,,
SOCIAL DISTANCING ONLY SOLUTION #CORONAVIRUS #Covid19 ,2020-03-25 14:33:52+00:00,0,0,#CORONAVIRUS #Covid19,Hyderabad,SOCIAL DISTANCING ONLY SOLUTION CORONAVIRUS Covid19,"[{'score': 0.675048, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,1.0,,,
Fighting with the #covid19 Are you? #coronavirus #corona #pandemic #lockdown . . #fi8nessmotivation #fitnessmotivation #fit #fitness #workout #workoutmotivation #gymmotivation #gym #indianfitness #fitfam… https://www.instagram.com/p/B-KMX6tJcjK/?igshid=1drh1eok0iy4f,2020-03-25 14:31:57+00:00,1,0,#covid19 #coronavirus #corona #pandemic #lockdown #fi8nessmotivation #fitnessmotivation #fit #fitness #workout #workoutmotivation #gymmotivation #gym #indianfitness #fitfam,Hyderabad,Fighting with the covid19 Are you coronavirus corona pandemic lockdown fi8nessmotivation fitnessmotivation fit fitness workout workoutmotivation gymmotivation gym indianfitness fitfam,"[{'score': 0.817115, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,,,1.0,,,
Only I and U can break this chain and control #Covid19. Let us cooperate with Police Personnel and be a responsible citizen. @RachakondaCop @HYDTP,2020-03-25 12:48:29+00:00,1,0,#Covid19,Hyderabad,Only I and U can break this chain and control Covid19 Let us cooperate with Police Personnel and be a responsible citizen,[],,,,,,,
".@aimim_national Bahadurpura MLA @mohdmoazamkhan appeals the people of his Constituency &amp; Hyderabad to follow the Instructions given the by Government, and asked to stay safe &amp; stay at homes during #CoronavirusLockdown @asadowaisi #COVID19 #IndiaFightsCoronavirus (1/2)",2020-03-25 12:11:26+00:00,11,14,#CoronavirusLockdown #COVID19 #IndiaFightsCoronavirus,Hyderabad,national Bahadurpura MLA appeals the people of his Constituency amp Hyderabad to follow the Instructions given the by Government and asked to stay safe amp stay at homes during CoronavirusLockdown COVID19 IndiaFightsCoronavirus 1 2,[],,,,,,,
