Text,Date,Retweets,Favorites,HashTags,City,clean_tweet,document_tones,joy,sadness,analytical,confident,tentative,anger,fear
I am pleased to share that I have passed and certified as PSM I by @Scrumdotorg #weekenddoneright #PSM #scrum #scrummaster #achievement #covid19 #lockdownlearning #scrumon #certification #nikmroy,2020-05-02 23:42:40+00:00,0,1,#weekenddoneright #PSM #scrum #scrummaster #achievement #covid19 #lockdownlearning #scrumon #certification #nikmroy,Mumbai,I am pleased to share that I have passed and certified as PSM I by weekenddoneright PSM scrum scrummaster achievement covid19 lockdownlearning scrumon certification nikmroy,"[{'score': 0.778652, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
"#COVID19 lockdown has affected various sectors in India. The Indian economy wasn't doing well before this #pandemic and now it's worse. With closed businesses and a shattered economy, our govt didn't act swiftly. #MSME sector will find it difficult to cope after #lockdown.1/2",2020-05-02 20:41:13+00:00,0,0,#COVID19 #pandemic #MSME #lockdown,Mumbai,COVID19 lockdown has affected various sectors in India The Indian economy wasn t doing well before this pandemic and now it s worse With closed businesses and a shattered economy our govt didn t act swiftly MSME sector will find it difficult to cope after lockdown 1 2,"[{'score': 0.731639, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",,1.0,,,,,
"#covid19 will need to be fought through, it cannot be fought by sitting at homes, we will need to devise smart strategies. #Warzone #FightAgainstCorona",2020-05-02 19:08:02+00:00,0,1,#covid19 #Warzone #FightAgainstCorona,Mumbai,covid19 will need to be fought through it cannot be fought by sitting at homes we will need to devise smart strategies Warzone FightAgainstCorona,"[{'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,,,,
"#Lockdown3 @PMOIndia If #COVID19 is here to stay for long time, it cannot hold #India, world humanity to ransom. There are ways this can be dealt with. 1. Everyone involved in mass connect should be tested, 2. This would include, all cab and auto drivers",2020-05-02 19:07:59+00:00,1,3,#Lockdown3 #COVID19 #India,Mumbai,Lockdown3 If COVID19 is here to stay for long time it cannot hold India world humanity to ransom There are ways this can be dealt with 1 Everyone involved in mass connect should be tested 2 This would include all cab and auto drivers,[],,,,,,,
#COVID19 UP CM Yogi Adityanath directs officials to make arrangements for ventilators in 20 districts of state,2020-05-02 19:05:14+00:00,0,0,#COVID19,Mumbai,COVID19 UP CM Yogi Adityanath directs officials to make arrangements for ventilators in 20 districts of state,[],,,,,,,
Pray for the real heroes who fight for us and make us always happy and put laughter on our face .......happy laughter day . #worldlaughtersay #ThankYouRamayan #laughter #laugh #SundayThoughts #Smile #lockdown #COVID19 #3may2020 #happy,2020-05-02 18:59:24+00:00,0,1,#worldlaughtersay #ThankYouRamayan #laughter #laugh #SundayThoughts #Smile #lockdown #COVID19 #3may2020 #happy,Mumbai,Pray for the real heroes who fight for us and make us always happy and put laughter on our face happy laughter day worldlaughtersay ThankYouRamayan laughter laugh SundayThoughts Smile lockdown COVID19 3may2020 happy,"[{'score': 0.979346, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.579436, 'tone_id': 'confident', 'tone_name': 'Confident'}]",1.0,,,1.0,,,
"No death reported in #Dharavi in last 2 days due to #COVID19. 38 persons have tested positive today, taking the total number of cases in Dharavi to 496, death toll is at 18: Brihanmumbai Municipal Corporation #Mumbai",2020-05-02 18:56:18+00:00,0,1,#Dharavi #COVID19 #Mumbai,Mumbai,No death reported in Dharavi in last 2 days due to COVID19 38 persons have tested positive today taking the total number of cases in Dharavi to 496 death toll is at 18 Brihanmumbai Municipal Corporation Mumbai,"[{'score': 0.648258, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.543112, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,1.0,,1.0,,,
"Can we stop use of word ""viral"" for showing popularity of certain video please? Context has changed. #COVID19 #thinkingaloud",2020-05-02 18:07:34+00:00,0,5,#COVID19 #thinkingaloud,Mumbai,Can we stop use of word viral for showing popularity of certain video please Context has changed COVID19 thinkingaloud,"[{'score': 0.638987, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,,,1.0,,,
"#kerala 4 ships of Southern Naval Command were illuminated today at The Anchorage in Ernakulam channel in Kochi as part of rehearsals for ""India Salutes Corona Warriors"" campaign being organised tomorrow to honour the efforts of frontline workers in the fight against #COVID19 ANI ",2020-05-02 17:48:40+00:00,0,2,#kerala #COVID19,Mumbai,kerala 4 ships of Southern Naval Command were illuminated today at The Anchorage in Ernakulam channel in Kochi as part of rehearsals for India Salutes Corona Warriors campaign being organised tomorrow to honour the efforts of frontline workers in the fight against COVID19 ANI,[],,,,,,,
Lockdown extended for 2 weeks... #ADSMN #covid19 #qurantineandchill #safehands #lockdownextended #indiafightsagainstcorona #Experientialmarketing #socialdistancing #stayathomechallenge #marketing #AR #VR #innovation #interactive #letsfightcovid19together #lockdown3 #17may,2020-05-02 17:43:40+00:00,0,1,#ADSMN #covid19 #qurantineandchill #safehands #safehands #lockdownextended #indiafightsagainstcorona #Experientialmarketing #socialdistancing #stayathomechallenge #marketing #AR #VR #innovation #interactive #letsfightcovid19together #lockdown3 #17may,Mumbai,Lockdown extended for 2 weeks ADSMN covid19 qurantineandchill safehands lockdownextended indiafightsagainstcorona Experientialmarketing socialdistancing stayathomechallenge marketing AR VR innovation interactive letsfightcovid19together lockdown3 17may,"[{'score': 0.554657, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
