Text,Date,Retweets,Favorites,HashTags,City,clean_tweet,document_tones,joy,confident,tentative,analytical,sadness,fear,anger
"How MSME can survive post #covid19 #lockdown ,My views https://youtu.be/muItKCWW63o MSME #BusinessContinuity after #Covid_19 #Lockdown #BusinessGrowth #startup @narendramodi @PiyushGoyal @anandmahindra @ETNOWlive @CNBCTV18Live @AnilSinghvi_",2020-04-16 19:36:22+00:00,0,0,#covid19 #lockdown #BusinessContinuity #Covid_19 #Lockdown #BusinessGrowth #startup,Ahmadabad,How MSME can survive post covid19 lockdown My views MSME BusinessContinuity after Covid 19 Lockdown BusinessGrowth startup,"[{'score': 0.662669, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
Today no reached to 80 Covid19 positive cases in #Bihar. Clearly it's conspiracy by officials and ruling party. Take action @PMOIndia #BiharFightsCovid19 #CoronaUpdate #COVID19 #COVID,2020-04-16 17:45:30+00:00,0,0,#Bihar #BiharFightsCovid19 #CoronaUpdate #COVID19 #COVID,Ahmadabad,Today no reached to 80 Covid19 positive cases in Bihar Clearly it s conspiracy by officials and ruling party Take action BiharFightsCovid19 CoronaUpdate COVID19 COVID,"[{'score': 0.612048, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.787944, 'tone_id': 'confident', 'tone_name': 'Confident'}]",1.0,1.0,,,,,
#SpiderMan Before and After the #Lockdown2 #COVID19 ,2020-04-16 15:39:12+00:00,1,73,#SpiderMan #Lockdown2 #COVID19,Ahmadabad,SpiderMan Before and After the Lockdown2 COVID19,[],,,,,,,
Yogic life #urmiyogaacademy #live #liveyoga #strength #stayhome #staysafe #yogastretch #yogastrong #yogainstructor #yogainspiration #yogateacher #yogatravel #yoga #covid19 #covid_19 #lockdown2020 #lockdown… https://www.instagram.com/p/B_Cpi4-jRwN/?igshid=nb0w4y66y5ma,2020-04-16 12:18:15+00:00,0,0,#urmiyogaacademy #live #liveyoga #strength #stayhome #stayhome #staysafe #yogastretch #yogastrong #yogainstructor #yogainspiration #yogateacher #yogatravel #yoga #covid19 #covid_19 #lockdown2020 #lockdown,Ahmadabad,Yogic life urmiyogaacademy live liveyoga strength stayhome staysafe yogastretch yogastrong yogainstructor yogainspiration yogateacher yogatravel yoga covid19 covid 19 lockdown2020 lockdown,"[{'score': 0.867707, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
"#PositiveNews 11 out of 11 positive cases recovered: Chetan Sanghi, Chief Secretary, Andaman and Nicobar Islands #COVID19 @naeemul_haque",2020-04-16 11:17:39+00:00,0,0,#PositiveNews #COVID19,Ahmadabad,PositiveNews 11 out of 11 positive cases recovered Chetan Sanghi Chief Secretary Andaman and Nicobar Islands COVID19 haque,"[{'score': 0.874372, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,1.0,,,,,
It's your turn. . . @socialsamosa @PMOIndia @narendramodi @AhmedabadPolice @GujaratPolice @AmdavadAMC . . #Lockdown2 #lockdown #lockdown2020 #corona #CoronaStopKaroNa #covid19 #Coronavirus #CoronaVirusUpdates #IndiaFightsCorona #CoronaVirus #GujaratFightsCorona,2020-04-16 07:05:34+00:00,0,1,#Lockdown2 #lockdown #lockdown2020 #corona #CoronaStopKaroNa #covid19 #Coronavirus #CoronaVirusUpdates #IndiaFightsCorona #CoronaVirus #GujaratFightsCorona,Ahmadabad,It s your turn Lockdown2 lockdown lockdown2020 corona CoronaStopKaroNa covid19 Coronavirus CoronaVirusUpdates IndiaFightsCorona CoronaVirus GujaratFightsCorona,[],,,,,,,
"With the rapid increase in #coronavirus positive cases in #Ahmedabad, be extra cautious while visiting malls or departmental stores. #MirrorCheck To read in detail click the below link: https://ahmedabadmirror.indiatimes.com/ahmedabad/cover-story/heres-why-you-must-be-extra-careful-shopping-for-groceries/articleshow/75131245.cms #lockdown #COVID #COVID19 #Covid_19 #BeSafe",2020-04-16 06:46:13+00:00,11,20,#coronavirus #Ahmedabad #MirrorCheck #lockdown #COVID #COVID19 #Covid_19 #BeSafe,Ahmadabad,With the rapid increase in coronavirus positive cases in Ahmedabad be extra cautious while visiting malls or departmental stores MirrorCheck To read in detail click the below link lockdown COVID COVID19 Covid 19 BeSafe,[],,,,,,,
Warrior coming back home after fighting #COVID19 #COVID. The neighbours welcoming her back home wearing masks obviously..... a huge thanks to @AmdavadAMC @vnehra @PMOIndia @narendramodi @svphospital,2020-04-16 05:47:15+00:00,0,0,#COVID19 #COVID,Ahmadabad,Warrior coming back home after fighting COVID19 COVID The neighbours welcoming her back home wearing masks obviously a huge thanks to,"[{'score': 0.598602, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,1.0,,,,,
"Hats off to all IAS, IPS, Doctors, & medical staff in fighting against #Covid19. Their hard work &amp; dedication is impeccable. @PMOIndia @CMOGuj @ArvindKejriwal @RajCMO special mention for @JayantiRavi &amp; @vnehra @dgpgujarat for their tremendous hardwork in fighting #Corona.",2020-04-16 05:27:39+00:00,0,0,#Covid19 #Corona,Ahmadabad,Hats off to all IAS IPS Doctors medical staff in fighting against Covid19 Their hard work amp dedication is impeccable special mention for amp for their tremendous hardwork in fighting Corona,[],,,,,,,
"#lockdown #plantsofinstagram #plantsreclaimingthecity #plantsoflockdown #covid19 Plants reclaiming their space during lock down @Ahmedabad, India https://www.instagram.com/p/B_B09Nrn71N/?igshid=16jxlvfxvk4j2",2020-04-16 04:36:06+00:00,0,0,#lockdown #plantsofinstagram #plantsreclaimingthecity #plantsoflockdown #covid19,Ahmadabad,lockdown plantsofinstagram plantsreclaimingthecity plantsoflockdown covid19 Plants reclaiming their space during lock down India,[],,,,,,,
