Text,Date,Retweets,Favorites,HashTags,City,clean_tweet,document_tones,analytical,confident,joy,anger,tentative,sadness,fear
Govts believe in '#Purely_Contractual_Basis' You serve them for 6months during #COVID19 Crisis Then get lost? Why not permanent appointments? This tool of exploitation rampant in all irrespective of govts @narendramodi @anilvijminister @drharshvardhan @SatyendarJain @PMOIndia – at AIIMS,2020-05-07 05:32:50+00:00,17,25,#Purely_Contractual_Basis #COVID19,Delhi,Govts believe in Purely Contractual Basis You serve them for 6months during COVID19 Crisis Then get lost Why not permanent appointments This tool of exploitation rampant in all irrespective of govts at AIIMS,"[{'score': 0.617877, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.704642, 'tone_id': 'confident', 'tone_name': 'Confident'}]",1.0,1.0,,,,,
"Elderly & known as ""Super Star of the Century"" seems to stooping too low for the greed of Money? He was considered to be a brand ambassador. Now by violating Violation of #Lockdown for shooting of #KBC12 ? What msg will go down the line? Is this how #COVID19 will be defeated?",2020-05-07 05:18:50+00:00,0,0,#Lockdown #KBC12 #COVID19,Delhi,Elderly known as Super Star of the Century seems to stooping too low for the greed of Money He was considered to be a brand ambassador Now by violating Violation of Lockdown for shooting of KBC12 What msg will go down the line Is this how COVID19 will be defeated,[],,,,,,,
#GoodMorning #Motivation . Don't judge each day by the harvest you reap but by the seeds that you plant. . . #propfin #propfinsolutions #realtor #realestate #investor #lockdown3 #letsfightagainstcorona #stopthespread #stayhome #staysafe #stayhealthy #lockdown #covid19 ,2020-05-07 05:07:19+00:00,0,1,#GoodMorning #Motivation #propfin #propfinsolutions #realtor #realestate #investor #lockdown3 #letsfightagainstcorona #stopthespread #stayhome #stayhome #staysafe #stayhealthy #lockdown #covid19,Delhi,GoodMorning Motivation Don t judge each day by the harvest you reap but by the seeds that you plant propfin propfinsolutions realtor realestate investor lockdown3 letsfightagainstcorona stopthespread stayhome staysafe stayhealthy lockdown covid19,"[{'score': 0.786844, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,,1.0,,,,
Railway coaches will be utilized as isolations ward for covid-19 patients. These coaches to be stationed at 215 railway stations in 23 states. Railways will designate state wise nodal officers for allocation of trains and for coordinating with the respective State #COVID19,2020-05-07 05:05:44+00:00,0,2,#COVID19,Delhi,Railway coaches will be utilized as isolations ward for covid 19 patients These coaches to be stationed at 215 railway stations in 23 states Railways will designate state wise nodal officers for allocation of trains and for coordinating with the respective State COVID19,[],,,,,,,
Why not Goa model ? @sagarikaghose @sardesairajdeep Not a single case since last one month #lockdownindia #COVID19 you can earn money to sale your brand value.. only like or dislike is matter..this is the reality of journalism who claim sach dikhate hai #BuddhaPurnima https://twitter.com/sagarikaghose/status/1258246277394862086,2020-05-07 04:53:08+00:00,1,5,#lockdownindia #COVID19 #BuddhaPurnima,Delhi,Why not Goa model Not a single case since last one month lockdownindia COVID19 you can earn money to sale your brand value only like or dislike is matter this is the reality of journalism who claim sach dikhate hai BuddhaPurnima,"[{'score': 0.602924, 'tone_id': 'anger', 'tone_name': 'Anger'}]",,,,1.0,,,
"#COVID19 replaced IPL this year, yet Mumbai is still at the top of the table #CoronaUpdatesInIndia",2020-05-07 04:52:57+00:00,0,7,#COVID19 #CoronaUpdatesInIndia,Delhi,COVID19 replaced IPL this year yet Mumbai is still at the top of the table CoronaUpdatesInIndia,[],,,,,,,
#happybuddhapurnima A great persona who taught us how to train your own mind #Buddha #Buddhapurnima2020 #BuddhaJayanti2020 #budhpurnima #BuddhPurnima #CoronaUpdatesInIndia #COVID19outbreak #COVID19 #StayHome,2020-05-07 04:46:20+00:00,0,0,#happybuddhapurnima #Buddha #Buddhapurnima2020 #BuddhaJayanti2020 #budhpurnima #BuddhPurnima #CoronaUpdatesInIndia #COVID19outbreak #COVID19 #StayHome #StayHome,Delhi,happybuddhapurnima A great persona who taught us how to train your own mind Buddha Buddhapurnima2020 BuddhaJayanti2020 budhpurnima BuddhPurnima CoronaUpdatesInIndia COVID19outbreak COVID19 StayHome,"[{'score': 0.697293, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,,1.0,,,,
"#AVIANS! #tatas launches shopping site Pls use ths one instead of #Amazon or other #Chinese shopping site Lets reciprocate Tata's gesture towards v Indians,who helped us wth huge donations of Rs.1500 CR to fight #COVID19 #gratitude to @RNTata2000 http://www.tatacliq.com – at Amrapali Village",2020-05-07 04:18:00+00:00,1,1,#AVIANS #tatas #Amazon #Chinese #COVID19 #gratitude #gratitude,Delhi,AVIANS tatas launches shopping site Pls use ths one instead of Amazon or other Chinese shopping site Lets reciprocate Tata s gesture towards v Indians who helped us wth huge donations of Rs 1500 CR to fight COVID19 gratitude to at Amrapali Village,"[{'score': 0.783153, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,,1.0,,,,
"T87:- This website ""https://www.covid19india.org/ and government website ""https://www.mygov.in/covid-19"" both showing different COVID paitent numbers, which one is CORRECT?? @drharshvardhan @MoHFW_INDIA @covid19indiaorg @PMOIndia @RahulGandhi @priyankagandhi #coronavirus #COVID19 ",2020-05-07 04:12:25+00:00,0,1,#coronavirus #COVID19,Delhi,T87 This website and government website both showing different COVID paitent numbers which one is CORRECT INDIA coronavirus COVID19,[],,,,,,,
LIVE NOW : PM @narendramodi addressing #BuddhaPurnima programme via technology in honour of victims and frontline warriors of #COVID19 on @DDNational &amp; Live-Stream on https://www.youtube.com/watch?v=6spWZBN9OuY,2020-05-07 03:34:54+00:00,2,11,#BuddhaPurnima #COVID19,Delhi,LIVE NOW PM addressing BuddhaPurnima programme via technology in honour of victims and frontline warriors of COVID19 on amp Live Stream on,[],,,,,,,
PM @narendramodi will deliver the keynote address at a #BuddhaPurnima programme via technology in honour of the victims and frontline warriors of #COVID19 at 9 am on http://wwww.youtube.com/DoordarshanNational,2020-05-07 03:32:51+00:00,1,5,#BuddhaPurnima #COVID19,Delhi,PM will deliver the keynote address at a BuddhaPurnima programme via technology in honour of the victims and frontline warriors of COVID19 at 9 am on,[],,,,,,,
#covid19 #trend #instagood #carfitment #carclubs #delhi @Delhi - The Capital Of India https://www.instagram.com/p/B_3yEUtAW2X/?igshid=11tl93hduovlf,2020-05-07 03:30:13+00:00,0,0,#covid19 #trend #instagood #carfitment #carclubs #delhi,Delhi,covid19 trend instagood carfitment carclubs delhi The Capital Of India,"[{'score': 0.821661, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,,1.0,,,,
Watch #PMModi ji’s address on #BuddhaPurnima today in honour of #COVID victims &amp; #CoronaWarriors #BuddhPurnima #ModiTheWorldLeader #Covid_19 #COVID19India #COVID19 #IndiaFightCorona,2020-05-07 03:12:18+00:00,0,1,#PMModi #BuddhaPurnima #COVID #CoronaWarriors #BuddhPurnima #ModiTheWorldLeader #Covid_19 #COVID19India #COVID19 #IndiaFightCorona,Delhi,Watch PMModi ji s address on BuddhaPurnima today in honour of COVID victims amp CoronaWarriors BuddhPurnima ModiTheWorldLeader Covid 19 COVID19India COVID19 IndiaFightCorona,[],,,,,,,
"14 studies on #COVID19 transmission patterns across nine countries could provide some pointers as the Centre and state governments work on exit strategies ahead of May 17, when the 3rd phase of nationwide is scheduled to end. https://indianexpress.com/article/india/closed-public-spaces-environments-coronavirus-super-spreading-6397621/ via @IndianExpress",2020-05-07 03:08:13+00:00,0,1,#COVID19,Delhi,14 studies on COVID19 transmission patterns across nine countries could provide some pointers as the Centre and state governments work on exit strategies ahead of May 17 when the 3rd phase of nationwide is scheduled to end via,"[{'score': 0.727988, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,,,,1.0,,
Technology has to step forward and crack the #Covid19 code. @AnkurKalraMD @KHERA_MD @CMichaelGibsin @iamritu @DrMarthaGulati @RealCruzHenry @mmamas1973 @drjohnm @DocSavageTJU @DrToniyaSingh @mirvatalasnag @SGuptaMD @HeartOTXHeartMD @PeroneFrancesco,2020-05-07 02:19:24+00:00,4,8,#Covid19,Delhi,Technology has to step forward and crack the Covid19 code MD,"[{'score': 0.767592, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,1.0,,,,,
Just simply don't use social sites just came over here so that somebody heard us. Kindly take action so that food which so precious this time don't get wasted.@ArvindKejriwal @msisodia @CMODelhi @DelhiPolice @CPDelhi @narendramodi #COVID19 #Covid_19 #DelhiPolice #COVID19outbreak,2020-05-07 00:51:22+00:00,1,0,#COVID19 #Covid_19 #DelhiPolice #COVID19outbreak,Delhi,Just simply don t use social sites just came over here so that somebody heard us Kindly take action so that food which so precious this time don t get wasted COVID19 Covid 19 DelhiPolice COVID19outbreak,"[{'score': 0.834759, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.775166, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",1.0,,,,1.0,,
"The trauma of not being able to call home has begun. #COVID19 has taken a second seat, our worries are different from the rest of the world. We say no to violence and killings, we ask for dignity &amp; peace. May #Kashmir become a blessed peaceful place again, Ameen. Please pray.",2020-05-06 22:15:27+00:00,1,4,#COVID19 #Kashmir,Delhi,The trauma of not being able to call home has begun COVID19 has taken a second seat our worries are different from the rest of the world We say no to violence and killings we ask for dignity amp peace May Kashmir become a blessed peaceful place again Ameen Please pray,"[{'score': 0.576682, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,,,,
