Text,Date,Retweets,Favorites,HashTags,City,clean_tweet,document_tones,joy,confident,analytical,sadness,tentative,fear,anger
When we went into lockdown we had less than 500 #Covid19 positive cases in india ... now when we are opening up we have 181000 cases in india . #CoronaUpdate #CoronavirusIndia #Unlock,2020-05-30 20:36:27+00:00,0,1,#Covid19 #CoronaUpdate #CoronavirusIndia #Unlock,Mumbai,When we went into lockdown we had less than 500 Covid19 positive cases in india now when we are opening up we have 181000 cases in india CoronaUpdate CoronavirusIndia Unlock,[],,,,,,,
Flashback...pre covid fun...now the fun is all inside the small screens. #Covid19 #WorldJeetagaCoronaHarega #StayHomeStaySafe,2020-05-30 20:27:32+00:00,0,1,#Covid19 #WorldJeetagaCoronaHarega #StayHomeStaySafe,Mumbai,Flashback pre covid fun now the fun is all inside the small screens Covid19 WorldJeetagaCoronaHarega StayHomeStaySafe,"[{'score': 0.840107, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.704642, 'tone_id': 'confident', 'tone_name': 'Confident'}]",1.0,1.0,,,,,
#MigrantsLivesMatter 1000+ Migrants leaving Mumbai today via Shramik Special Trains from Bandra Station to Jaunpur distributed with Theplas &amp; Water Bottles in association with @SRLoveandCare #Lockdown5 #lockdownextension #COVID19 #COVIDLockdown #HelpingOthers – at Bandra Railway Station,2020-05-30 19:21:45+00:00,5,12,#MigrantsLivesMatter #Lockdown5 #lockdownextension #COVID19 #COVIDLockdown #HelpingOthers,Mumbai,MigrantsLivesMatter 1000 Migrants leaving Mumbai today via Shramik Special Trains from Bandra Station to Jaunpur distributed with Theplas amp Water Bottles in association with Lockdown5 lockdownextension COVID19 COVIDLockdown HelpingOthers at Bandra Railway Station,[],,,,,,,
"#Assam reported 159 new cases of #COVID19 yesterday, taking total number of cases to 1216 out of which 1046 cases are active. Four people have succumbed to the infection so far: Assam Health Department ",2020-05-30 18:49:04+00:00,0,0,#Assam #COVID19,Mumbai,Assam reported 159 new cases of COVID19 yesterday taking total number of cases to 1216 out of which 1046 cases are active Four people have succumbed to the infection so far Assam Health Department,[],,,,,,,
It has been decided to declare GTB Hospital as a designated #COVID19 Hospital with its full bed capacity of 1500 beds: Government of #Delhi,2020-05-30 18:33:20+00:00,1,1,#COVID19 #Delhi,Mumbai,It has been decided to declare GTB Hospital as a designated COVID19 Hospital with its full bed capacity of 1500 beds Government of Delhi,"[{'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.543112, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,1.0,1.0,,,,
"55 more #COVID19 cases reported in #Indore today. Total number of cases in the district is now at 3486, including 132 deaths: District Health Department #MadhyaPradesh",2020-05-30 18:32:27+00:00,0,0,#COVID19 #Indore #MadhyaPradesh,Mumbai,55 more COVID19 cases reported in Indore today Total number of cases in the district is now at 3486 including 132 deaths District Health Department MadhyaPradesh,[],,,,,,,
"262 new #COVID19 cases &amp; 12 deaths (in last 24 hours) reported, taking the total number of positive cases in the state to 7701 and death toll stands at 213: #UttarPradesh Health Department",2020-05-30 18:23:34+00:00,0,0,#COVID19 #UttarPradesh,Mumbai,262 new COVID19 cases amp 12 deaths in last 24 hours reported taking the total number of positive cases in the state to 7701 and death toll stands at 213 UttarPradesh Health Department,"[{'score': 0.524056, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.579436, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,1.0,,1.0,,,
"#Telangana reports 60 new #COVID19 positive cases today, taking the total number of cases in the state to 2499 A total of 1412 people have been discharged from hospitals in the state. 77 people have lost their lives due to COVID-19: State Health Department ",2020-05-30 18:23:00+00:00,0,0,#Telangana #COVID19,Mumbai,Telangana reports 60 new COVID19 positive cases today taking the total number of cases in the state to 2499 A total of 1412 people have been discharged from hospitals in the state 77 people have lost their lives due to COVID 19 State Health Department,"[{'score': 0.573356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.579436, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,1.0,1.0,,,,
"A total of 313 people have tested positive for #COVID19 in the state till date, of which 107 are recovered cases, 197 are active cases and 5 deaths: #HimachalPradesh Health Department",2020-05-30 18:22:37+00:00,0,0,#COVID19 #HimachalPradesh,Mumbai,A total of 313 people have tested positive for COVID19 in the state till date of which 107 are recovered cases 197 are active cases and 5 deaths HimachalPradesh Health Department,"[{'score': 0.605143, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,1.0,,,,,
"2,940 new #coronavirus patients reported in #Maharashtra alongwith 99 deaths on Saturday; case count reaches 65,168 and death toll 2,198, PTI quotes health department. #COVID19 #Maharashtra",2020-05-30 18:21:27+00:00,1,1,#coronavirus #Maharashtra #COVID19 #Maharashtra,Mumbai,2 940 new coronavirus patients reported in Maharashtra alongwith 99 deaths on Saturday case count reaches 65 168 and death toll 2 198 PTI quotes health department COVID19 Maharashtra,"[{'score': 0.564787, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",,,,1.0,,,
