Text,Date,Retweets,Favorites,HashTags,City,clean_tweet,document_tones,analytical,sadness,joy,fear,tentative,confident,anger
#IMMUNITYBOOSTERSAGAINST #COVID19 #Did you know exercise can help in generating immunity cells? #IndiaFightsCorona @dr_maheshsharma @tejpalnagarMLA @HarishD_BJP @BJP4UP,2020-05-21 08:48:53+00:00,0,1,#IMMUNITYBOOSTERSAGAINST #COVID19 #Did #IndiaFightsCorona,Delhi,IMMUNITYBOOSTERSAGAINST COVID19 Did you know exercise can help in generating immunity cells IndiaFightsCorona maheshsharma BJP,"[{'score': 0.781949, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,,,,
Airlines to adhere to lower and upper limit of fares prescribed by govt during #COVID19 pandemic period: @MoCA_GoI,2020-05-21 08:37:02+00:00,1,5,#COVID19,Delhi,Airlines to adhere to lower and upper limit of fares prescribed by govt during COVID19 pandemic period GoI,"[{'score': 0.601377, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",,1.0,,,,,
"Death toll due to #COVID19 rises to 3,435 in India; cases climb to 1,12,359: @MoHFW_INDIA",2020-05-21 08:33:37+00:00,0,3,#COVID19,Delhi,Death toll due to COVID19 rises to 3 435 in India cases climb to 1 12 359 INDIA,"[{'score': 0.582193, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.641954, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,1.0,,,,,
Dear Friends Indian Alliance of NGOs for Road Safety is organising a series of Virtual Meet dedicated to all #RoadSafety Pillars and way Forward considering #covid19 . Join us! ,2020-05-21 07:45:42+00:00,3,9,#RoadSafety #covid19,Delhi,Dear Friends Indian Alliance of NGOs for Road Safety is organising a series of Virtual Meet dedicated to all RoadSafety Pillars and way Forward considering covid19 Join us,"[{'score': 0.666732, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.588596, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,1.0,,,,
"Another highly labour intensive industry which is hit cause of #COVID19 is Auto and Auto ancillary industry.The demand for Auto has completely vanished. We had never witnessed a month with zero sales for Maruti,it has happened now. Imagine what will happen to others. #automobile",2020-05-21 07:17:02+00:00,0,1,#COVID19 #automobile,Delhi,Another highly labour intensive industry which is hit cause of COVID19 is Auto and Auto ancillary industry The demand for Auto has completely vanished We had never witnessed a month with zero sales for Maruti it has happened now Imagine what will happen to others automobile,"[{'score': 0.500124, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",,1.0,,,,,
#migrantworkers #covid19 #hardshipsoflife #poverty @New Delhi https://www.instagram.com/p/CAcOn-HjpxTKtDKfIWs0Db5lleVwVtfIafWNpE0/?igshid=sio5oq0twuct,2020-05-21 07:12:02+00:00,0,0,#migrantworkers #covid19 #hardshipsoflife #poverty,Delhi,migrantworkers covid19 hardshipsoflife poverty Delhi,"[{'score': 0.602231, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",,1.0,,,,,
"#Tech workers are central to how quickly economies can bounce back post #COVID19. #Virtual meeting of 12 global associations to highlight the critical role of tech industry. @ABSL_EU @IAOP @BPO2SA @SLASSCOM @KerryHallard @GSA_UK @shivendra_1969, @debjani_ghosh_ @tweetsnidhi",2020-05-21 07:11:32+00:00,1,5,#Tech #COVID19 #Virtual,Delhi,Tech workers are central to how quickly economies can bounce back post COVID19 Virtual meeting of 12 global associations to highlight the critical role of tech industry EU UK 1969 ghosh,[],,,,,,,
"Today as we reach the 50th day of our relief services during COVID-19, We specially thank those who supported us through donations because without you we wouldn’t have come this far #thankyou #hope #relief #50days #Indiafightscorona #coronawarriors #covid19 #sharetocare",2020-05-21 06:59:32+00:00,1,10,#thankyou #thankyou #hope #relief #50days #Indiafightscorona #coronawarriors #covid19 #sharetocare,Delhi,Today as we reach the 50th day of our relief services during COVID 19 We specially thank those who supported us through donations because without you we wouldn t have come this far thankyou hope relief 50days Indiafightscorona coronawarriors covid19 sharetocare,"[{'score': 0.782638, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,,1.0,,,,
India Habitat Centre without people - looks and feel very weird. Beautiful though! #Delhi #IHC #Covid19 – at India Habitat Centre,2020-05-21 06:14:39+00:00,1,5,#Delhi #IHC #Covid19,Delhi,India Habitat Centre without people looks and feel very weird Beautiful though Delhi IHC Covid19 at India Habitat Centre,[],,,,,,,
"Addressed the video conference organized by CII, highlighted the importance of logistics in this lockdown & talked about the psychic fear arising due to #COVID19 and how to deal with it. – at NITI Aayog",2020-05-21 06:11:16+00:00,13,40,#COVID19,Delhi,Addressed the video conference organized by CII highlighted the importance of logistics in this lockdown talked about the psychic fear arising due to COVID19 and how to deal with it at NITI Aayog,"[{'score': 0.800991, 'tone_id': 'fear', 'tone_name': 'Fear'}]",,,,1.0,,,
