User,Text,Date,Retweets,Favorites,HashTags,City,clean_tweet,Sentiment
bimaldas1965,Pandemic is the result of loss of natural boundaries between human and wild life. Human has to draw the line not the wild or face it again and again #pandemic #covid19 #wildlife @Ecotech Biofarm Private Limited https://www.instagram.com/p/B-8Eg4-AG-f/?igshid=31l83kkzn0cs,2020-04-13 22:56:36+00:00,0,1,#pandemic #covid19 #wildlife,Mumbai,Pandemic is the result of loss of natural boundaries between human and wild life Human has to draw the line not the wild or face it again and again pandemic covid19 wildlife Biofarm Private Limited,Positive
freddzo,"@AxisBank http://replied.Next they will ask me to visit the nearest branch,area which is sealed by @PuneCityPolice. #pathetic loan dept is closed,They r only catering to #bigticket clients. @PMOIndia @narendramodi @RBI @FinMinIndia @AmitShah @AmitShahOffice #Help #COVID19 ",2020-04-13 22:27:59+00:00,0,0,#pathetic #bigticket #Help #COVID19,Mumbai,they will ask me to visit the nearest branch area which is sealed by pathetic loan dept is closed They r only catering to bigticket clients Help COVID19,Negative
Andy_gawai,No schedule for sleeping/getting up/having food. No news on what day it is. COVID19 has changed everything. No offense to @RahulGandhi I hope you are doing well Rahul Ji. Take Care. Stay in Stay safe. #IndiaFightsCorona #Covid19India #Covid_19 #COVID19 #lockdownindia #Lockdown,2020-04-13 20:03:55+00:00,1,1,#IndiaFightsCorona #Covid19India #Covid_19 #COVID19 #lockdownindia #Lockdown,Mumbai,No schedule for sleeping getting up having food No news on what day it is COVID19 has changed everything No offense to I hope you are doing well Rahul Ji Take Care Stay in Stay safe IndiaFightsCorona Covid19India Covid 19 COVID19 lockdownindia Lockdown,Positive
AkshayMahapadi,@PiyushGoyal ji please declare d amendnent in ARP over @KonkanRailway to 30 days for #Ganpati festival to provide some relief to the people in this tough time of #lockdown #COVID19 in @narendramodi 's speech at 10AM. Ppl frm #Konkan #Goa #Karnataka #Karwar #Ratnagiri will thank u,2020-04-13 20:02:01+00:00,2,2,#Ganpati #lockdown #COVID19 #Konkan #Goa #Karnataka #Karwar #Ratnagiri,Mumbai,ji please declare d amendnent in ARP over to 30 days for Ganpati festival to provide some relief to the people in this tough time of lockdown COVID19 in s speech at 10AM Ppl frm Konkan Goa Karnataka Karwar Ratnagiri will thank u,Negative
him_paliwal,"Have we got vaccine for #Covid19? If not, then why are these people bursting crackers/rockets from past 1 hr? Location: Sai Nath Nagar, Wadgaon Sheri. #PleaseHelp #NeedtoSleep #CrackersKoStopKarona #KuchKarona @PuneCityPolice @CPPuneCity @DGPMaharashtra @SidShirole",2020-04-13 18:49:53+00:00,2,2,#Covid19 #PleaseHelp #NeedtoSleep #CrackersKoStopKarona #KuchKarona,Mumbai,Have we got vaccine for Covid19 If not then why are these people bursting crackers rockets from past 1 hr Location Sai Nath Nagar Wadgaon Sheri PleaseHelp NeedtoSleep CrackersKoStopKarona KuchKarona,Negative
jayesh27j,"Hey Twitter , Are you at home ? #COVID19",2020-04-13 18:45:52+00:00,0,1,#COVID19,Mumbai,Hey Twitter Are you at home COVID19,Neutral
kamleshsutar,"Bollywood star @iamsrk contributes 25,000 #PPE kits to #Maharashtra Govt for its fight against #COVID19 &amp; protecting frontline medical care team. #CoronaWarriors #COVID19Updates #MaharashtraFightsCorona #SRKDonatesForCovid",2020-04-13 18:04:06+00:00,899,2778,#PPE #Maharashtra #COVID19 #CoronaWarriors #COVID19Updates #MaharashtraFightsCorona #SRKDonatesForCovid,Mumbai,Bollywood star contributes 25 000 PPE kits to Maharashtra Govt for its fight against COVID19 amp protecting frontline medical care team CoronaWarriors COVID19Updates MaharashtraFightsCorona SRKDonatesForCovid,Neutral
kamleshsutar,#CoronaInMaharashtra #updates ◆ The current count of #COVID19 +ve cases in state 2334 ◆ New cases added Today 352 ◆ Deaths registered today 11 (9 in Mumbai) ◆ Total Deaths 160 Discharged till date 229 #CoronaVirusUpdates #MaharashtraFightsCorona #COVID2019,2020-04-13 17:55:58+00:00,1,4,#CoronaInMaharashtra #updates #COVID19 #CoronaVirusUpdates #MaharashtraFightsCorona #COVID2019,Mumbai,CoronaInMaharashtra updates The current count of COVID19 ve cases in state 2334 New cases added Today 352 Deaths registered today 11 9 in Mumbai Total Deaths 160 Discharged till date 229 CoronaVirusUpdates MaharashtraFightsCorona COVID2019,Positive
FMWdotcom,With your help we can reach to the finish line. Your support will help the captain survive lockdown! Click (link in description) to donate. Please share so that we reach maximum people. https://rapido.goodera.com/ #COVID19 #Stayathome #LockdownIndia #Makeadifference @RapidoApp,2020-04-13 16:28:16+00:00,0,0,#COVID19 #Stayathome #Stayathome #LockdownIndia #Makeadifference,Mumbai,With your help we can reach to the finish line Your support will help the captain survive lockdown Click link in description to donate Please share so that we reach maximum people COVID19 Stayathome LockdownIndia Makeadifference,Neutral
SanaKhanGeek,Good News :) https://us.valueq.com/articles/good-news-amid-coronavirus-that-helps-the-perspective-337069 #Coronavirus #Covid19,2020-04-13 15:43:44+00:00,0,0,#Coronavirus #Covid19,Mumbai,Good News Coronavirus Covid19,Positive
Dr_IshanThakkar,"""To stop the train, pull the chain"" says Indian Railway For current situation it makes me read ""To stop the chain, use the brain"" And brain says, Follow: - stay home - social distancing - hand hygiene #COVID19 #togetherwecan #StayHomeIndia #StayHome #fightagainstcorona",2020-04-13 15:28:59+00:00,2,3,#COVID19 #togetherwecan #StayHomeIndia #StayHome #StayHome #fightagainstcorona,Mumbai,To stop the train pull the chain says Indian Railway For current situation it makes me read To stop the chain use the brain And brain says Follow stay home social distancing hand hygiene COVID19 togetherwecan StayHomeIndia StayHome fightagainstcorona,Positive
vijivenkatesh,In the time of #COVID19 we come to know know who is who right ?,2020-04-13 14:52:49+00:00,0,1,#COVID19,Mumbai,In the time of COVID19 we come to know know who is who right,Positive
vaishali_gj,You don't have to be super well read to see through this completely bogus accusation and arrests during #COVID19 is just... What are you trying to do #DoNotArrestAnand #DoNotArrestGautam,2020-04-13 13:57:58+00:00,2,0,#COVID19 #DoNotArrestAnand #DoNotArrestGautam,Mumbai,You don t have to be super well read to see through this completely bogus accusation and arrests during COVID19 is just What are you trying to do DoNotArrestAnand DoNotArrestGautam,Positive
onewaytrips,Lockdown view #lockdownindia #SelfIsolation #COVID19 ,2020-04-13 13:42:37+00:00,0,0,#lockdownindia #SelfIsolation #COVID19,Mumbai,Lockdown view lockdownindia SelfIsolation COVID19,Neutral
dan1shaslam,"Now compare this with, say, @jacindaardern and her daily updates with ACTUAL information. We get that Modi chacha is probably busy coming up with the next acronym he wants to unleash on the nation, but some form of communication would be nice. Yes, @MoHFW_INDIA? #COVID19 ",2020-04-13 13:33:10+00:00,0,1,#COVID19,Mumbai,Now compare this with say and her daily updates with ACTUAL information We get that Modi chacha is probably busy coming up with the next acronym he wants to unleash on the nation but some form of communication would be nice Yes INDIA COVID19,Positive
amtmindia,Helping man's best friend for the past ten years. We continue to strive hard during #COVID19. Donate if you can't join us. We will continue to feed till lockdown. http://impactgu.ru/eWKyxQ,2020-04-13 13:20:42+00:00,5,29,#COVID19,Mumbai,Helping man s best friend for the past ten years We continue to strive hard during COVID19 Donate if you can t join us We will continue to feed till lockdown,Positive
princesspudu,Thankyou @DSPhalkeFFAward #officialselection2020 #dadasahebphalkeinternationalfilmfestival #shortfilm #HETOO #hetoo #hetooshortfilm #gratitude #thankyousomuch #april30th #itisanhonortobeselected ##covid19 #lockdown2020 #somegoodnews #isalwaysgood @CHAKRAVIEW1971 @BhavanUS,2020-04-13 12:15:42+00:00,1,5,#officialselection2020 #dadasahebphalkeinternationalfilmfestival #shortfilm #HETOO #hetoo #hetooshortfilm #gratitude #gratitude #thankyousomuch #april30th #itisanhonortobeselected #covid19 #lockdown2020 #somegoodnews #isalwaysgood,Mumbai,Thankyou officialselection2020 dadasahebphalkeinternationalfilmfestival shortfilm HETOO hetoo hetooshortfilm gratitude thankyousomuch april30th itisanhonortobeselected covid19 lockdown2020 somegoodnews isalwaysgood,Neutral
AkshayMahapadi,120 days ARP should be suspended and resumed later once we get out of this #COVID19 war. We are uncertain on each front now. People willing to travel to natives in #Konkan demand to hold on #Railway bookings for #Ganpati festival. #Raigad #Ratnagiri #Sindhudurg #Goa #Karwar,2020-04-13 11:31:49+00:00,1,3,#COVID19 #Konkan #Railway #Ganpati #Raigad #Ratnagiri #Sindhudurg #Goa #Karwar,Mumbai,120 days ARP should be suspended and resumed later once we get out of this COVID19 war We are uncertain on each front now People willing to travel to natives in Konkan demand to hold on Railway bookings for Ganpati festival Raigad Ratnagiri Sindhudurg Goa Karwar,Positive
mumbaidreamtour,"As Mumbai races to control Covid in Dharavi, other slums emerge as hotspots #dharavislum #dharavi #mumbai #slum #mumbaislums #dharavicoronavirus #covi̇d19 #Corona #coronavirus #stayhome #staysafe @Dharavi,… https://www.instagram.com/p/B-61pbUj7JU/?igshid=jju67duick7e",2020-04-13 11:27:28+00:00,0,0,#dharavislum #dharavi #mumbai #slum #mumbaislums #dharavicoronavirus #covi #Corona #coronavirus #stayhome #stayhome #staysafe,Mumbai,As Mumbai races to control Covid in Dharavi other slums emerge as hotspots dharavislum dharavi mumbai slum mumbaislums dharavicoronavirus covi d19 Corona coronavirus stayhome staysafe,Negative
TheDarkLorrd,"Now he’s got the perfect excuse for doing NOTHING to contain the spread of #COVID19 in his constituency. Not to forget everyone will sympathise with him and gradually people will forget about #anantkarmuse. Also, MH has crossed 2000 cases. #BestCMOfTheWorld #IndiaFightsCorona",2020-04-13 11:16:39+00:00,1,2,#COVID19 #anantkarmuse #BestCMOfTheWorld #IndiaFightsCorona,Mumbai,Now he s got the perfect excuse for doing NOTHING to contain the spread of COVID19 in his constituency Not to forget everyone will sympathise with him and gradually people will forget about anantkarmuse Also MH has crossed 2000 cases BestCMOfTheWorld IndiaFightsCorona,Positive
junnu_21,"@mybmcWardB plz upload area wise corona cases that have been diagnosed in our B ward, don't just retweet @mybmc work, individual ward should upload its data too, so that people will understand the seriousness of #COVID19 @mlaAminPatel sir plz look in dis matter too @gallinews",2020-04-13 10:14:34+00:00,1,0,#COVID19,Mumbai,plz upload area wise corona cases that have been diagnosed in our B ward don t just retweet work individual ward should upload its data too so that people will understand the seriousness of COVID19 sir plz look in dis matter too,Positive
drgauravpatil,"Thanks, but we dont need Chinese products #covid19 #who",2020-04-13 10:01:33+00:00,0,0,#covid19 #who,Mumbai,Thanks but we dont need Chinese products covid19 who,Positive
IndurChhugani,"No blaming BJP Me received a DM, stating that he can provide proof, that BJP brought in the #COVID19 into India, to divert attention from numerous problems in India. I refuse to believe it. Have enough experience. Wife forgets her mobile in Autorickshaw, blamed me for it. ",2020-04-13 09:48:49+00:00,4,15,#COVID19,Mumbai,No blaming BJP Me received a DM stating that he can provide proof that BJP brought in the COVID19 into India to divert attention from numerous problems in India I refuse to believe it Have enough experience Wife forgets her mobile in Autorickshaw blamed me for it,Neutral
IndurChhugani,"After exported #COVID19 China started selling Masks and ventilators to the world. Now Eyeing takeover of European Companies, hard pressed for cash. Italy and Germany amending laws, to prevent Chinese takeover. @sonaliranade @suchetadalal Watch Video. https://youtu.be/SFd-2Iefieg",2020-04-13 09:34:14+00:00,7,10,#COVID19,Mumbai,After exported COVID19 China started selling Masks and ventilators to the world Now Eyeing takeover of European Companies hard pressed for cash Italy and Germany amending laws to prevent Chinese takeover Watch Video,Negative
nandso,Get ready to create a ten headed corona effigy and burn it at stake .. or maybe milk bath with haldi for a homemade corona vanquishing deity. #COVID19 #janathacurfew,2020-04-13 09:31:07+00:00,1,3,#COVID19 #janathacurfew,Mumbai,Get ready to create a ten headed corona effigy and burn it at stake or maybe milk bath with haldi for a homemade corona vanquishing deity COVID19 janathacurfew,Positive
