User,Text,Date,Retweets,Favorites,HashTags,City,clean_tweet,Sentiment1,Positive,Negative,Neutral
uves,These Days 90 % Population in India are selling Mask and Sanitizers to remaining 10 % #covid19 #lockdownbusiness #businessfromhome,2020-05-16 22:53:31+00:00,0,1,#covid19 #lockdownbusiness #businessfromhome,Mumbai,These Days 90 Population in India are selling Mask and Sanitizers to remaining 10 covid19 lockdownbusiness businessfromhome,0,0,0,1
sirajnoorani,"884 new #COVID19 positive cases reported in #Mumbai on Saturday, taking the total number of cases to 18,396. Death toll stands at 696, reports ANI quoting Municipal Corporation, Greater Mumbai #BMC #MumbaiFightsCovid19 #CautionYesPanicNo",2020-05-16 21:24:09+00:00,0,0,#COVID19 #Mumbai #BMC #MumbaiFightsCovid19 #CautionYesPanicNo,Mumbai,884 new COVID19 positive cases reported in Mumbai on Saturday taking the total number of cases to 18 396 Death toll stands at 696 reports ANI quoting Municipal Corporation Greater Mumbai BMC MumbaiFightsCovid19 CautionYesPanicNo,1,1,0,1
sirajnoorani,"33 more #COVID19 positive cases have been reported in #Bihar, taking the total number of cases to 1178: Sanjay Kumar, State Principal Health Secretary",2020-05-16 21:23:06+00:00,0,0,#COVID19 #Bihar,Mumbai,33 more COVID19 positive cases have been reported in Bihar taking the total number of cases to 1178 Sanjay Kumar State Principal Health Secretary,1,2,0,1
sirajnoorani,"92 persons have tested positive for #COVID19 in Indore district today; taking the total number of positive cases to 2470. Death toll increased to 100 after one death was reported today: Praveen Jadia, #Indore Chief Medical Health Officer #MadhyaPradesh",2020-05-16 21:22:50+00:00,0,0,#COVID19 #Indore #MadhyaPradesh,Mumbai,92 persons have tested positive for COVID19 in Indore district today taking the total number of positive cases to 2470 Death toll increased to 100 after one death was reported today Praveen Jadia Indore Chief Medical Health Officer MadhyaPradesh,1,3,0,1
sirajnoorani,Two persons from Guwahati test #COVID19 positive. Total positive cases rise to 94 in the state: #Assam Minister Himanta Biswa Sarma,2020-05-16 21:22:11+00:00,0,0,#COVID19 #Assam,Mumbai,Two persons from Guwahati test COVID19 positive Total positive cases rise to 94 in the state Assam Minister Himanta Biswa Sarma,1,4,0,1
sirajnoorani,"One person from Sonitpur district has tested #COVID19 positive. Total positive cases rise to 92 in #Assam: Himanta Biswa Sarma, State Minister",2020-05-16 21:22:00+00:00,0,0,#COVID19 #Assam,Mumbai,One person from Sonitpur district has tested COVID19 positive Total positive cases rise to 92 in Assam Himanta Biswa Sarma State Minister,1,5,0,1
sirajnoorani,#Bihar: Test report of one person who passed away on May 15 turned out to be positive for #COVID19 yesterday in Khagaria. The deceased had returned from Maharashtra on May 13. His wife has also tested positive for COVID19. Death toll rises to 8 in the state.,2020-05-16 21:21:15+00:00,0,0,#Bihar #COVID19,Mumbai,Bihar Test report of one person who passed away on May 15 turned out to be positive for COVID19 yesterday in Khagaria The deceased had returned from Maharashtra on May 13 His wife has also tested positive for COVID19 Death toll rises to 8 in the state,1,6,0,1
superajnarayan,If you want something you never had You have to do something you've never done #lifelessons #lockdown #coronavirus #covid19 #covid_19 #covi̇d19 #covid #coronavirusmemes share your comments &amp; experiences @Diva… https://www.instagram.com/p/CAQzbzogNVc/?igshid=1x1yzqwshh5k8,2020-05-16 20:43:51+00:00,0,0,#lifelessons #lockdown #coronavirus #covid19 #covid_19 #covi #covid #coronavirusmemes,Mumbai,If you want something you never had You have to do something you ve never done lifelessons lockdown coronavirus covid19 covid 19 covi d19 covid coronavirusmemes share your comments amp experiences,0,6,0,2
Sachins887999,How many of U Agree with this #thoughts #SundayThoughts #sundayvibes #SundayMorning #SundayMotivation #Sunday #COVID19 #Covid_19 #CoronaVirusUpdate PM Modi #NarendraModi @narendramodi @AmitShah @RahulGandhi @priyankagandhi @sambitswaraj,2020-05-16 19:08:36+00:00,1,1,#thoughts #SundayThoughts #sundayvibes #SundayMorning #SundayMotivation #Sunday #COVID19 #Covid_19 #CoronaVirusUpdate #NarendraModi,Mumbai,How many of U Agree with this thoughts SundayThoughts sundayvibes SundayMorning SundayMotivation Sunday COVID19 Covid 19 CoronaVirusUpdate PM Modi NarendraModi,1,7,0,2
TheyahaE,Faces of Pune Will be out on 18th may. The yaha family #theyahaevents #eventing #emma #people #celebrities #eventmanagementcompany #Unity #positivity #wedding #pune #igpune #peoplesofpune #covid19 #pandemic #lockdown #india #Modi #20LakhCroreStimulus #StaySafeStayHome,2020-05-16 18:53:21+00:00,1,1,#theyahaevents #eventing #emma #people #celebrities #eventmanagementcompany #Unity #positivity #wedding #pune #igpune #peoplesofpune #covid19 #pandemic #lockdown #india #Modi #20LakhCroreStimulus #StaySafeStayHome,Mumbai,Faces of Pune Will be out on 18th may The yaha family theyahaevents eventing emma people celebrities eventmanagementcompany Unity positivity wedding pune igpune peoplesofpune covid19 pandemic lockdown india Modi 20LakhCroreStimulus StaySafeStayHome,0,7,0,3
payaltalk,"Yup, but please concentrate on #Mumbai, we are in the pits, no beds for n hospitals and no places in crematoriums #COVID19 #Maharashtra",2020-05-16 18:34:43+00:00,0,1,#Mumbai #COVID19 #Maharashtra,Mumbai,Yup but please concentrate on Mumbai we are in the pits no beds for n hospitals and no places in crematoriums COVID19 Maharashtra,0,7,0,4
Sachins887999, % True @narendramodi @PMOIndia @AmitShah @AmitShahOffice @CMOMaharashtra @OfficeofUT @BJP4India @ShivSena @INCIndia @NCPspeaks #COVID19 #Covid_19 #Lockdown3 #Lockdown4,2020-05-16 18:33:23+00:00,1,1,#COVID19 #Covid_19 #Lockdown3 #Lockdown4,Mumbai,True COVID19 Covid 19 Lockdown3 Lockdown4,1,8,0,4
mandarkeni,"They are dying almost everyday but sadly not of #Covid19, they are dying of poverty, hunger, helplessness &amp; negligence of government. #MigrantLabourersDying",2020-05-16 18:13:29+00:00,5,15,#Covid19 #MigrantLabourersDying,Mumbai,They are dying almost everyday but sadly not of Covid19 they are dying of poverty hunger helplessness amp negligence of government MigrantLabourersDying,1,9,0,4
AnybodyCanHelp,There is no finer investment for anyone than offering food to the needy. & What's the Return?? Blessings which is counted in front of the Almighty. #FoodAid to 20 Families in Goregaon today by Team @AnybodyCanHelp in #COVID19 #lockdown days #Covid_19,2020-05-16 17:45:47+00:00,12,12,#FoodAid #COVID19 #lockdown #Covid_19,Mumbai,There is no finer investment for anyone than offering food to the needy What s the Return Blessings which is counted in front of the Almighty FoodAid to 20 Families in Goregaon today by Team in COVID19 lockdown days Covid 19,0,9,0,5
TriptiRTiwari,@MamataOfficial the Most Callous CM &amp; @OfficeofUT the Most Inefficient.. Two Huge Failures in this #COVID19 Phase..,2020-05-16 17:17:51+00:00,2,8,#COVID19,Mumbai,the Most Callous CM amp the Most Inefficient Two Huge Failures in this COVID19 Phase,1,10,0,5
suryachaturvedi,Chasing the . . . #sun #sunrise #lake #clouds #travelphotography #covid19 #lockdown2020 #lockdown #lockdowndiaries #quarantine #stayhome #stayhome #stayhealthy #landscapephotography #landscape #yoga… https://www.instagram.com/p/CAQbgKip5C7/?igshid=1hmd4pxzyu2k8,2020-05-16 17:13:42+00:00,0,1,#sun #sunrise #lake #clouds #travelphotography #covid19 #lockdown2020 #lockdown #lockdowndiaries #quarantine #stayhome #stayhome #stayhome #stayhome #stayhealthy #landscapephotography #landscape #yoga,Mumbai,Chasing the sun sunrise lake clouds travelphotography covid19 lockdown2020 lockdown lockdowndiaries quarantine stayhome stayhome stayhealthy landscapephotography landscape yoga,0,10,0,6
AshrafAhmedSha,Mumbai Lockdown Diaries: Online lessons and quiz sessions during spare times at home. #lockdown #Covid19 #pandemic #onlinequiz #elearing #IFS,2020-05-16 17:04:10+00:00,0,6,#lockdown #Covid19 #pandemic #onlinequiz #elearing #IFS,Mumbai,Mumbai Lockdown Diaries Online lessons and quiz sessions during spare times at home lockdown Covid19 pandemic onlinequiz elearing IFS,0,10,0,7
DibasBehera,"#HerdImmunity #COVID19 #CoronaWarriorsIndia God in earth, Service before self moto and serving for nation to again functional as earlier. Herd immunity can achieve by vaccine else by antibodies who recovered. @narendramodi ji, plan for it as this is need to do...",2020-05-16 17:01:58+00:00,0,0,#HerdImmunity #COVID19 #CoronaWarriorsIndia,Mumbai,HerdImmunity COVID19 CoronaWarriorsIndia God in earth Service before self moto and serving for nation to again functional as earlier Herd immunity can achieve by vaccine else by antibodies who recovered ji plan for it as this is need to do,0,10,0,8
tausifkokate,Pray For The Humanity... #LailatulQadr #COVID19 ,2020-05-16 17:01:44+00:00,0,7,#LailatulQadr #COVID19,Mumbai,Pray For The Humanity LailatulQadr COVID19,0,10,0,9
Sachins887999,A Small Tribute From Our Team of #SionFriendCircle to our #CoronaWarriors @MumbaiPolice @CPMumbaiPolice @DGPMaharashtra who all R there out so that we can be #StaySafe during this #COVID19 #Covid_19 Thank U So much Sir Hope U Like this Tribute 4m our Side #JaiHind #JaiMaharashtra,2020-05-16 16:43:11+00:00,1,1,#SionFriendCircle #CoronaWarriors #StaySafe #COVID19 #Covid_19 #JaiHind #JaiMaharashtra,Mumbai,A Small Tribute From Our Team of SionFriendCircle to our CoronaWarriors who all R there out so that we can be StaySafe during this COVID19 Covid 19 Thank U So much Sir Hope U Like this Tribute 4m our Side JaiHind JaiMaharashtra,-1,10,1,9
ashokkumarmajji,"— Working hard for other countries &amp; returned home with safety, security is called #ImmigrantWorker Mission: #VandeBharat Working hard in their own country &amp; returned home with punishment is called #MigrantWorker Mission: #VanishBharat #COVID19 #coronavirusinindia",2020-05-16 16:30:46+00:00,0,0,#ImmigrantWorker #VandeBharat #MigrantWorker #VanishBharat #COVID19 #coronavirusinindia,Mumbai,Working hard for other countries amp returned home with safety security is called ImmigrantWorker Mission VandeBharat Working hard in their own country amp returned home with punishment is called MigrantWorker Mission VanishBharat COVID19 coronavirusinindia,-1,10,2,9
Aditigautam02,Doing what I do the best on weekends sleep #COVID19,2020-05-16 16:25:29+00:00,0,5,#COVID19,Mumbai,Doing what I do the best on weekends sleep COVID19,1,11,2,9
satejss,SET 02 - 52th day of nationwide lockdown 3 to coronavirus pandemic at Kandivali in Mumbai on 15/05/2020. @satejss #satejshinde #midday #middayonline #instaphoto #lockdown3 #52thday #COVID19 #kandivali #samtanagar #thakurvillage #damunagar #msrtc #bestbus #mumbaipolice #constable,2020-05-16 16:11:08+00:00,0,0,#satejshinde #midday #middayonline #instaphoto #lockdown3 #52thday #COVID19 #kandivali #samtanagar #thakurvillage #damunagar #msrtc #bestbus #mumbaipolice #constable,Mumbai,SET 02 52th day of nationwide lockdown 3 to coronavirus pandemic at Kandivali in Mumbai on 15 05 2020 satejshinde midday middayonline instaphoto lockdown3 52thday COVID19 kandivali samtanagar thakurvillage damunagar msrtc bestbus mumbaipolice constable,0,11,2,10
satejss,SET 01 - 52th day of nationwide lockdown 3 to coronavirus pandemic at Kandivali in Mumbai on 15/05/2020. @satejss #satejshinde #midday #middayonline #instaphoto #lockdown3 #52thday #COVID19 #kandivali #samtanagar #thakurvillage #damunagar #msrtc #bestbus #mumbaipolice #constable,2020-05-16 16:10:48+00:00,0,1,#satejshinde #midday #middayonline #instaphoto #lockdown3 #52thday #COVID19 #kandivali #samtanagar #thakurvillage #damunagar #msrtc #bestbus #mumbaipolice #constable,Mumbai,SET 01 52th day of nationwide lockdown 3 to coronavirus pandemic at Kandivali in Mumbai on 15 05 2020 satejshinde midday middayonline instaphoto lockdown3 52thday COVID19 kandivali samtanagar thakurvillage damunagar msrtc bestbus mumbaipolice constable,0,11,2,11
AjayDindian,"Mumbai records 884 new #COVID19 cases and 41 deaths, taking total case count to 18,396 and fatalities to 696 @ABPNews #COVID__19 #lockdown",2020-05-16 15:26:15+00:00,1,2,#COVID19 #COVID__19 #lockdown,Mumbai,Mumbai records 884 new COVID19 cases and 41 deaths taking total case count to 18 396 and fatalities to 696 COVID 19 lockdown,1,12,2,11
reporting_bug,Don't tell us what to do Show us how to do #COVID19 #India #indiangovernment #ModiGovtFailedLockdown #MODIJI_HelpUs #ModiEconomics #modispeech #ModiGovernment #modivideomessage,2020-05-16 15:20:42+00:00,0,0,#COVID19 #India #indiangovernment #ModiGovtFailedLockdown #MODIJI_HelpUs #ModiEconomics #modispeech #ModiGovernment #modivideomessage,Mumbai,Don t tell us what to do Show us how to do COVID19 India indiangovernment ModiGovtFailedLockdown MODIJI HelpUs ModiEconomics modispeech ModiGovernment modivideomessage,0,12,2,12
MBTheGuide,#Mumbai 884 new #Covid19 cases and 41 deaths reported in #Mumbai 41 deaths in 24 hours is highest single day toll in #Mumbai @DeccanHerald,2020-05-16 15:16:42+00:00,3,3,#Mumbai #Covid19 #Mumbai #Mumbai,Mumbai,Mumbai 884 new Covid19 cases and 41 deaths reported in Mumbai 41 deaths in 24 hours is highest single day toll in Mumbai,1,13,2,12
NirajGala2,DO YOU AGREE? #gujaratichokro #funniest #funtime #coronavirus #flirtymemes #writerslife #thoughtprocess #imagination #powerofgirl #girlspower #quarantineandchill #covid19 #smallbusiness #timepass #creativity… https://www.instagram.com/p/CAQM15inJ4a/?igshid=1xv519rq3ktsb,2020-05-16 15:05:58+00:00,0,1,#gujaratichokro #funniest #funtime #coronavirus #flirtymemes #writerslife #thoughtprocess #imagination #powerofgirl #girlspower #quarantineandchill #covid19 #smallbusiness #timepass #creativity,Mumbai,DO YOU AGREE gujaratichokro funniest funtime coronavirus flirtymemes writerslife thoughtprocess imagination powerofgirl girlspower quarantineandchill covid19 smallbusiness timepass creativity,0,13,2,13
vasudevkamath,"Can you check with the partner if there are signs of opening up, else I can cancel the order and order through some other channel. These products were specifically for lockdown. #Covid19 is going to be here for long.",2020-05-16 14:47:09+00:00,0,0,#Covid19,Mumbai,Can you check with the partner if there are signs of opening up else I can cancel the order and order through some other channel These products were specifically for lockdown Covid19 is going to be here for long,-1,13,3,13
umangpat3l,It's not OVER.. #COVID19 #pandemic #coronavirus #BeSafe #stayhome,2020-05-16 14:44:03+00:00,0,0,#COVID19 #pandemic #coronavirus #BeSafe #stayhome #stayhome,Mumbai,It s not OVER COVID19 pandemic coronavirus BeSafe stayhome,0,13,3,14
shivdarshan102,"#COVID19 Chronicles 16/5/20:Feels surreal,just like a http://dream.It’s given me time to introspect,ask my self difficult questions,appreciate human interaction &amp; indulge in goals that I always wanted to pursue.From such reflection would come even more effective action ",2020-05-16 13:39:42+00:00,0,2,#COVID19,Mumbai,COVID19 Chronicles 16 5 20 Feels surreal just like a given me time to introspect ask my self difficult questions appreciate human interaction amp indulge in goals that I always wanted to pursue From such reflection would come even more effective action,1,14,3,14
sirajnoorani,"There are 35 active cases of #COVID19 in #HimachalPradesh now, 35 have recovered while 3 have succumbed to the infection till date: State Health Department",2020-05-16 12:05:23+00:00,0,1,#COVID19 #HimachalPradesh,Mumbai,There are 35 active cases of COVID19 in HimachalPradesh now 35 have recovered while 3 have succumbed to the infection till date State Health Department,-1,14,4,14
sirajnoorani,"No new case of #COVID19 reported today in #Chandigarh. The total number of positive cases stands at 191, of which 137 are active cases. The death toll is at 3. 51 patients have been cured/discharged till date: Chandigarh Health Department",2020-05-16 12:01:27+00:00,0,0,#COVID19 #Chandigarh,Mumbai,No new case of COVID19 reported today in Chandigarh The total number of positive cases stands at 191 of which 137 are active cases The death toll is at 3 51 patients have been cured discharged till date Chandigarh Health Department,1,15,4,14
sirajnoorani,"105 fresh cases of #COVID19 have been recorded in the last 24 hours in #WestBengal, taking the total number of cases to 2576 including 892 recoveries. Seven people succumbed to the infection in the last 24 hours: State Home Secretary Alapan Bandyopadhyay",2020-05-16 12:00:03+00:00,0,0,#COVID19 #WestBengal,Mumbai,105 fresh cases of COVID19 have been recorded in the last 24 hours in WestBengal taking the total number of cases to 2576 including 892 recoveries Seven people succumbed to the infection in the last 24 hours State Home Secretary Alapan Bandyopadhyay,1,16,4,14
sirajnoorani,"195 fresh cases of #COVID19 &amp; 3 deaths recorded in #UttarPradesh in the last 24 hours, taking total number of cases to 4140 &amp; death toll to 95. There are 1718 active cases in the state: Uttar Pradesh Health Department",2020-05-16 11:51:01+00:00,0,0,#COVID19 #UttarPradesh,Mumbai,195 fresh cases of COVID19 amp 3 deaths recorded in UttarPradesh in the last 24 hours taking total number of cases to 4140 amp death toll to 95 There are 1718 active cases in the state Uttar Pradesh Health Department,1,17,4,14
sirajnoorani,16 new positive #COVID19 cases reported in the last 24 hours. All of them are under treatment at designated COVID-19 healthcare hospitals. Most of them are asymptomatic: Border Security Force (#BSF),2020-05-16 11:39:33+00:00,0,0,#COVID19 #BSF,Mumbai,16 new positive COVID19 cases reported in the last 24 hours All of them are under treatment at designated COVID 19 healthcare hospitals Most of them are asymptomatic Border Security Force BSF,1,18,4,14
sirajnoorani,"Six new cases of #COVID19 have been recorded in Uttarakhand, taking total number of cases to 88 including 51 recoveries. Number of active cases stands at 36: #Uttarakhand Health Department",2020-05-16 11:39:09+00:00,0,0,#COVID19 #Uttarakhand,Mumbai,Six new cases of COVID19 have been recorded in Uttarakhand taking total number of cases to 88 including 51 recoveries Number of active cases stands at 36 Uttarakhand Health Department,1,19,4,14
sirajnoorani,"A 36-year-old man has tested positive for #COVID19 in #HimachalPradesh today, taking total number of cases to 77 in the state: Nipun Jindal, Special Secretary (Health)",2020-05-16 11:38:42+00:00,0,0,#COVID19 #HimachalPradesh,Mumbai,A 36 year old man has tested positive for COVID19 in HimachalPradesh today taking total number of cases to 77 in the state Nipun Jindal Special Secretary Health,1,20,4,14
