User,Text,Date,Retweets,Favorites,HashTags,City
hrtofnation,"In the last 24 hours, 3 deaths and 28 new #COVID19 positive cases have been reported in #MaharashtraPolice ; the total number of positive cases rise to 3,689 including 1,033 active cases, 2,611 recoveries and 45 deaths : Maharashtra Police : (ANI)",2020-06-17 23:50:11+00:00,0,0,#COVID19 #MaharashtraPolice,Mumbai
in_tradingview,#QUESS - #QUESS #BANKNIFTY #NIFTY #NSE #BSE #TRADING #INVESTING #COVID19 - TradingView - ,2020-06-17 23:20:00+00:00,0,1,#QUESS #QUESS #BANKNIFTY #NIFTY #NSE #BSE #TRADING #INVESTING #COVID19,Mumbai
in_tradingview,#HAL - #HAL #BANKNIFTY #NIFTY #NSE #BSE #TRADING #INVESTING #COVID19 - TradingView - ,2020-06-17 22:40:00+00:00,0,0,#HAL #HAL #BANKNIFTY #NIFTY #NSE #BSE #TRADING #INVESTING #COVID19,Mumbai
Pun_paliaKishan,"With the habit of wearing masks, bachelors can live without a bath for a few more days. #COVID #COVID19 #bachelor #teenager #college #campus #WorkFromHome #internships #QuarantineLife #iit #bitspilani #Engineering #medicalstudent",2020-06-17 22:13:39+00:00,0,0,#COVID #COVID19 #bachelor #teenager #college #campus #WorkFromHome #internships #QuarantineLife #iit #bitspilani #Engineering #medicalstudent,Mumbai
in_tradingview,#QUESS - #QUESS #BANKNIFTY #NIFTY #NSE #BSE #TRADING #INVESTING #COVID19 - TradingView - https://in.tradingview.com/chart/QUESS/z9sP4Q0q-QUESS-BANKNIFTY-NIFTY-NSE-BSE-TRADING-INVESTING-COVID19/,2020-06-17 22:10:03+00:00,0,0,#QUESS #QUESS #BANKNIFTY #NIFTY #NSE #BSE #TRADING #INVESTING #COVID19,Mumbai
Chhavirathore10,Best Homeopathic Medicine for Skin Allergy l Homeopathic Doctor for Pcod https://www.chennaiclassic.com/1-Chennai/posts/9-Health/57-Others-Health/5367854-Best-Homeopathic-Medicine-for-Skin-Allergy-l-Homeopathic-Doctor-for-Pcod-.html .#Covid_19 #covid19 #PCOS #ThrowbackThursday #COVID19 #coronavirus #StayatHome #stayhome,2020-06-17 22:01:11+00:00,0,0,#Covid_19 #covid19 #PCOS #ThrowbackThursday #COVID19 #coronavirus #StayatHome #StayatHome #stayhome #stayhome,Mumbai
Chhavirathore10,Best Homeopathic Medicine for Skin Allergy l Homeopathic Doctor for Pcod https://www.1smartlist.com/services/health-beauty-fitness/doctors-clinics/best-homeopathic-medicine-for-skin-allergy-l-homeo-9939.html . .#Covid_19 #covid19 #ThrowbackThursday #COVID19 #coronavirus #StayatHome #StayHomeStaySafe,2020-06-17 21:59:34+00:00,0,1,#Covid_19 #covid19 #ThrowbackThursday #COVID19 #coronavirus #StayatHome #StayatHome #StayHomeStaySafe,Mumbai
acism,"Be it due to #Covid19 or due to any cyclone, your workforce is at home. Can they work from there? With a little discipline in your ways of working, in many cases they can. https://acism.com/how-kommbox-supports-remotework/",2020-06-17 21:01:00+00:00,0,0,#Covid19,Mumbai
CommunityBandra,Great news from @WHO for the fight agianst #Covid19. @PMOIndia @mybmc @CMOMaharashtra @AUThackeray @mybmcHealthDept @HRDMinistry @MNCDFbombay @bbcnewsmarathi @BBCBreaking @BBCWorld,2020-06-17 20:46:50+00:00,1,6,#Covid19,Mumbai
AnkurBSaraiya,#BlackLivesMatters @premierleague like seriously? What about #CoViD19 life loss? #EveryLivesMatter PL don’t you see empty stadiums and life loss in just three months?,2020-06-17 20:46:34+00:00,0,1,#BlackLivesMatters #CoViD19 #EveryLivesMatter,Mumbai
radzk5,...and we’re back. #COVID19 ,2020-06-17 20:33:49+00:00,0,0,#COVID19,Mumbai
JunaidK0302,"Thanks @TheDeshBhakt for shedding the light on the #COVID19 situation, the #content was quite distinctive and outspoken #akashbanergee #fuck9pmnews #India #FakeNewsMediaClowns #COVID19India",2020-06-17 20:24:12+00:00,0,0,#COVID19 #content #akashbanergee #fuck9pmnews #India #FakeNewsMediaClowns #COVID19India,Mumbai
nagma_morarji,Not again after NIRBHAYA these gang rapists still have the guts to do this they shud be severely punished #Noida Woman gang raped in a moving bus #UPPolice during #Covid19 safety and security of woman has to be really monitored. @myogiadityanath Ji,2020-06-17 20:16:50+00:00,32,139,#Noida #UPPolice #Covid19,Mumbai
kushalKBajaj,"@PMOIndia @XiJimpin #IndiaChinaFaceOff #India #China #COVID19 #humans #lostspecies I'm so tired and sick Aren’t you, for the world to become good and beautiful and kind? Let us take a knife and cut the world in two and see what worms are eating at the rind. --Langston Hughes",2020-06-17 20:11:45+00:00,0,1,#IndiaChinaFaceOff #India #China #COVID19 #humans #lostspecies,Mumbai
dha_shu_0017,"All the depression experts yesterday, who were Covid expert day before, are today defence experts. #COVID19 #RIPSushantSinghRajput #IndiaChinaFaceOff #RIPSushant",2020-06-17 20:09:41+00:00,0,1,#COVID19 #RIPSushantSinghRajput #IndiaChinaFaceOff #RIPSushant,Mumbai
ankitafancy,#DX80 given to hospitals #cisco helps in this #covid19 crisis #CiscoLive,2020-06-17 20:07:03+00:00,0,1,#DX80 #cisco #covid19 #CiscoLive,Mumbai
iamSamAbhishek,@sakaltimes @ThePuneMirror @punekarnews is there a way if you can voice out this daily water problems to @CMOMaharashtra @AUThackeray @CPPuneCity appreciate your help in closing this with @marvelrealtors #COVID19 ,2020-06-17 20:06:12+00:00,0,0,#COVID19,Mumbai
