User,Text,Date,Retweets,Favorites,HashTags,City,clean_tweet,Sentiment
uves,These Days 90 % Population in India are selling Mask and Sanitizers to remaining 10 % #covid19 #lockdownbusiness #businessfromhome,2020-05-16 22:53:31+00:00,0,1,#covid19 #lockdownbusiness #businessfromhome,Mumbai,These Days 90 Population in India are selling Mask and Sanitizers to remaining 10 covid19 lockdownbusiness businessfromhome,Neutral
sirajnoorani,"884 new #COVID19 positive cases reported in #Mumbai on Saturday, taking the total number of cases to 18,396. Death toll stands at 696, reports ANI quoting Municipal Corporation, Greater Mumbai #BMC #MumbaiFightsCovid19 #CautionYesPanicNo",2020-05-16 21:24:09+00:00,0,0,#COVID19 #Mumbai #BMC #MumbaiFightsCovid19 #CautionYesPanicNo,Mumbai,884 new COVID19 positive cases reported in Mumbai on Saturday taking the total number of cases to 18 396 Death toll stands at 696 reports ANI quoting Municipal Corporation Greater Mumbai BMC MumbaiFightsCovid19 CautionYesPanicNo,Positive
sirajnoorani,"33 more #COVID19 positive cases have been reported in #Bihar, taking the total number of cases to 1178: Sanjay Kumar, State Principal Health Secretary",2020-05-16 21:23:06+00:00,0,0,#COVID19 #Bihar,Mumbai,33 more COVID19 positive cases have been reported in Bihar taking the total number of cases to 1178 Sanjay Kumar State Principal Health Secretary,Positive
sirajnoorani,"92 persons have tested positive for #COVID19 in Indore district today; taking the total number of positive cases to 2470. Death toll increased to 100 after one death was reported today: Praveen Jadia, #Indore Chief Medical Health Officer #MadhyaPradesh",2020-05-16 21:22:50+00:00,0,0,#COVID19 #Indore #MadhyaPradesh,Mumbai,92 persons have tested positive for COVID19 in Indore district today taking the total number of positive cases to 2470 Death toll increased to 100 after one death was reported today Praveen Jadia Indore Chief Medical Health Officer MadhyaPradesh,Positive
sirajnoorani,Two persons from Guwahati test #COVID19 positive. Total positive cases rise to 94 in the state: #Assam Minister Himanta Biswa Sarma,2020-05-16 21:22:11+00:00,0,0,#COVID19 #Assam,Mumbai,Two persons from Guwahati test COVID19 positive Total positive cases rise to 94 in the state Assam Minister Himanta Biswa Sarma,Positive
sirajnoorani,"One person from Sonitpur district has tested #COVID19 positive. Total positive cases rise to 92 in #Assam: Himanta Biswa Sarma, State Minister",2020-05-16 21:22:00+00:00,0,0,#COVID19 #Assam,Mumbai,One person from Sonitpur district has tested COVID19 positive Total positive cases rise to 92 in Assam Himanta Biswa Sarma State Minister,Positive
sirajnoorani,#Bihar: Test report of one person who passed away on May 15 turned out to be positive for #COVID19 yesterday in Khagaria. The deceased had returned from Maharashtra on May 13. His wife has also tested positive for COVID19. Death toll rises to 8 in the state.,2020-05-16 21:21:15+00:00,0,0,#Bihar #COVID19,Mumbai,Bihar Test report of one person who passed away on May 15 turned out to be positive for COVID19 yesterday in Khagaria The deceased had returned from Maharashtra on May 13 His wife has also tested positive for COVID19 Death toll rises to 8 in the state,Positive
superajnarayan,If you want something you never had You have to do something you've never done #lifelessons #lockdown #coronavirus #covid19 #covid_19 #covi̇d19 #covid #coronavirusmemes share your comments &amp; experiences @Diva… https://www.instagram.com/p/CAQzbzogNVc/?igshid=1x1yzqwshh5k8,2020-05-16 20:43:51+00:00,0,0,#lifelessons #lockdown #coronavirus #covid19 #covid_19 #covi #covid #coronavirusmemes,Mumbai,If you want something you never had You have to do something you ve never done lifelessons lockdown coronavirus covid19 covid 19 covi d19 covid coronavirusmemes share your comments amp experiences,Neutral
Sachins887999,How many of U Agree with this #thoughts #SundayThoughts #sundayvibes #SundayMorning #SundayMotivation #Sunday #COVID19 #Covid_19 #CoronaVirusUpdate PM Modi #NarendraModi @narendramodi @AmitShah @RahulGandhi @priyankagandhi @sambitswaraj,2020-05-16 19:08:36+00:00,1,1,#thoughts #SundayThoughts #sundayvibes #SundayMorning #SundayMotivation #Sunday #COVID19 #Covid_19 #CoronaVirusUpdate #NarendraModi,Mumbai,How many of U Agree with this thoughts SundayThoughts sundayvibes SundayMorning SundayMotivation Sunday COVID19 Covid 19 CoronaVirusUpdate PM Modi NarendraModi,Positive
TheyahaE,Faces of Pune Will be out on 18th may. The yaha family #theyahaevents #eventing #emma #people #celebrities #eventmanagementcompany #Unity #positivity #wedding #pune #igpune #peoplesofpune #covid19 #pandemic #lockdown #india #Modi #20LakhCroreStimulus #StaySafeStayHome,2020-05-16 18:53:21+00:00,1,1,#theyahaevents #eventing #emma #people #celebrities #eventmanagementcompany #Unity #positivity #wedding #pune #igpune #peoplesofpune #covid19 #pandemic #lockdown #india #Modi #20LakhCroreStimulus #StaySafeStayHome,Mumbai,Faces of Pune Will be out on 18th may The yaha family theyahaevents eventing emma people celebrities eventmanagementcompany Unity positivity wedding pune igpune peoplesofpune covid19 pandemic lockdown india Modi 20LakhCroreStimulus StaySafeStayHome,Neutral
